,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
290,ROOFTOP,"1501A Vermont St, San Francisco, CA 94107, USA",ChIJcQKPO01-j4ARLnqcOy2VeyQ,Zola Acai,37.7503395,-122.4024683,1,94107,OK,"establishment,food,point_of_interest"
291,ROOFTOP,"304 N Elmira Ave, Russellville, AR 72802, USA",ChIJ2WmK20tTzIcR9q6BxUgZeWs,Umami Restaurant,35.2812749,-93.10222449999999,1,72802,OK,"establishment,food,point_of_interest,restaurant"
292,ROOFTOP,"466 Haight St, San Francisco, CA 94117, USA",ChIJ3UgDy6aAhYARdyIqpQ7ZoxU,Nickies,37.7723603,-122.4298578,2,94117,OK,"bar,establishment,food,point_of_interest,restaurant"
293,ROOFTOP,"902 W 11th St, Coffeyville, KS 67337, USA",ChIJ9RjiMYqEt4cRCK75zjisnoY,Subway Sandwiches # 5669,37.033422,-95.629255,1,67337,OK,"establishment,food,point_of_interest,restaurant"
294,ROOFTOP,"902 W 11th St, Coffeyville, KS 67337, USA",ChIJ9RjiMYqEt4cRCK75zjisnoY,Subway Sandwiches # 7307,37.033422,-95.629255,1,67337,OK,"establishment,food,point_of_interest,restaurant"
295,ROOFTOP,"902 W 11th St, Coffeyville, KS 67337, USA",ChIJ9RjiMYqEt4cRCK75zjisnoY,Subway Sandwiches #36339,37.033422,-95.629255,1,67337,OK,"establishment,food,point_of_interest,restaurant"
296,ROOFTOP,"865 Market St, San Francisco, CA 94103, USA",ChIJy4kpbIaAhYAR0CxPPZHKjrA,Sorabol-Rincon Center,37.7846202,-122.4063403,1,94103,OK,"establishment,food,point_of_interest,restaurant"
297,ROOFTOP,"215 2nd St, San Francisco, CA 94105, USA",ChIJ2SBu73yAhYARA5oCBioYX2c,Chatz Coffee Shop,37.7866698,-122.3978193,1,94105,OK,"cafe,establishment,food,point_of_interest,store"
298,ROOFTOP,"5874 Forbes Ave, Pittsburgh, PA 15217, USA",ChIJZZ2GGgDyNIgRYUzZCxeTClQ,Rose Tea,40.437841,-79.920109,1,15217,OK,"cafe,establishment,food,point_of_interest,restaurant"
299,ROOFTOP,"2276 E 16th St, Los Angeles, CA 90021, USA",ChIJSbcnh5fIwoARAxs3ZW516xQ,Nightgallerie,34.0195189,-118.2317878,1,90021,OK,"art_gallery,establishment,point_of_interest"
300,ROOFTOP,"1618 N Summit St, Arkansas City, KS 67005, USA",ChIJDzqvvNCBsIcR6-3iqXUHZhE,Ninja Sushi,37.0820565,-97.0397977,1,67005,OK,"establishment,food,point_of_interest,restaurant"
301,ROOFTOP,"9500 Bolsa Ave, Westminster, CA 92683, USA",ChIJ1TA8qrcn3YARvfNzVEfPDEQ,Nguyen Andrew A,33.7446713,-117.9633591,1,92683,OK,"doctor,establishment,health,point_of_interest"
302,,,,Bocadillos Lp,,,0,,ZERO_RESULTS,
303,ROOFTOP,"904 E Gibbs St, Del Rio, TX 78840, USA",ChIJB01yAGHr9YYRN9il5mIzuaU,Jitra Thai Cuisine,29.3678144,-100.892987,1,78840,OK,"establishment,food,point_of_interest,restaurant"
304,ROOFTOP,"2801 SE 27th Ave, Amarillo, TX 79103, USA",ChIJq6sMeTZPAYcRZwPvdGjX8z4,King Ling,35.1859681,-101.8039913,2,79103,OK,"establishment,food,point_of_interest,restaurant"
305,ROOFTOP,"3650 E Flamingo Rd, Las Vegas, NV 89121, USA",ChIJodl4aSvFyIARWgLIaqSCVtw,Rika Express,36.1157473,-115.0957467,1,89121,OK,"establishment,food,point_of_interest,restaurant"
306,ROOFTOP,"799 O'Farrell St, San Francisco, CA 94109, USA",ChIJdSi1MZGAhYARjEThAVgfyCE,Piccolo Italia Pizza,37.784998,-122.417645,1,94109,OK,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant"
