accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"525 Golden Gate Ave, San Francisco, CA 94102, USA",ChIJvTbu6JmAhYARsJ-x_LZOOJU,525 Golden Gate Ave,37.7809272,-122.419371,1,94102,OK,premise
ROOFTOP,"699 Columbus Ave, San Francisco, CA 94133, USA",ChIJH2DQNfCAhYARO6MNDLS7o7I,699 Columbus Ave,37.8010175,-122.4114693,2,94133,OK,street_address
ROOFTOP,"2057 Divisadero St, San Francisco, CA 94115, USA",ChIJlyawV8mAhYARd7iYJSALM68,2057 Divisadero St,37.7888449,-122.440907,2,94115,OK,premise
ROOFTOP,"29 Lee Ave, Bayville, NJ 08721, USA",ChIJK8kspnGfwYkRFg5AlOeeqUc,29 Lee Ave,39.877436,-74.161957,3,8721,OK,premise
ROOFTOP,"233 Bay Ridge Dr, Daly City, CA 94014, USA",ChIJqYL-bcx-j4ARsbs37rUuZsw,233 Bay Ridge Dr,37.6996408,-122.417725,1,94014,OK,premise
ROOFTOP,"276 5th Ave, New York, NY 10001, USA",ChIJ6eQEnahZwokRDwkZzNKfIg8,276 5th St,40.7459637,-73.9869055,1,10001,OK,premise
ROOFTOP,"577 Geary St, San Francisco, CA 94102, USA",ChIJHSIkKI6AhYARESM9sasQ7wQ,577 Geary St,37.7865729,-122.4127251,2,94102,OK,premise
ROOFTOP,"4104 24th St, San Francisco, CA 94114, USA",ChIJF1IfZhJ-j4ARDZHYg3MXrXo,4104 24th St #1019,37.751427,-122.4343503,2,94114,OK,"establishment,finance,point_of_interest,store"
ROOFTOP,"1198 Valencia St, San Francisco, CA 94110, USA",ChIJX2URCj9-j4ARLHHqvVi9TGE,1198 Valencia St #105,37.7539332,-122.4212147,1,94110,OK,street_address
ROOFTOP,"425 Hayes St, San Francisco, CA 94102, USA",ChIJHaxTo5iAhYARAbsyj9Y1pys,425 A Hayes St,37.776752,-122.4233905,1,94102,OK,street_address
ROOFTOP,"167 11th St, Hoboken, NJ 07030, USA",ChIJ_zpeaNhZwokRUxuOG7uQDXo,167 11th Street,40.7499461,-74.0288424,1,7030,OK,street_address
ROOFTOP,"1000 Guerrero St, San Francisco, CA 94110, USA",ChIJx8byJD5-j4ARBWObYOb0JBI,1000 Guerrero St,37.7549966,-122.4235873,1,94110,OK,premise
ROOFTOP,"88 King St, San Francisco, CA 94107, USA",ChIJF8swG9h_j4ARrgZbcwEO6Ys,88 King  504,37.7806904,-122.3892201,2,94107,OK,street_address
ROOFTOP,"2950 25th St, San Francisco, CA 94110, USA",ChIJ5RpazU5-j4AR_CX-qF21Okw,2950 25th St,37.7513613,-122.4092184,2,94110,OK,premise
ROOFTOP,"17451 CA-120, Big Oak Flat, CA 95305, USA",ChIJq6pmaHDWkIARLT2F9DRbhSE,17451 Highway 120,37.8224086,-120.2607154,1,95305,OK,street_address
ROOFTOP,"393 Bay St, San Francisco, CA 94133, USA",ChIJS9dx0OSAhYAR7vaQtUsp7q0,393 Bay St,37.805472,-122.4134109,1,94133,OK,premise
ROOFTOP,"600 Townsend St, San Francisco, CA 94103, USA",ChIJz4-uvSx-j4AR37YmZekWMbQ,600 Townsend St,37.771696,-122.4025698,1,94103,OK,premise
ROOFTOP,"15 Poncetta Dr, Daly City, CA 94015, USA",ChIJ39DWQUR8j4ARNbOMbFmKPaM,15 Poncetta Drive  106,37.7031372,-122.4756925,1,94015,OK,premise
ROOFTOP,"425 1st St UNIT 2702, San Francisco, CA 94105, USA",ChIJgRUNOnqAhYAReyTIy2-sbdo,425 1st St Apt 2702,37.7860625,-122.3921764,1,94105,OK,subpremise
ROOFTOP,"315 Culet Dr, Danville, CA 94506, USA",ChIJ54mD4R_yj4AReGgWnKrnEww,315 Culet Dr,37.7950924,-121.9019288,1,94506,OK,premise
ROOFTOP,"704 Post St, San Francisco, CA 94109, USA",ChIJJXsg8ZGAhYARQ1pS0uJnREQ,704 Post St,37.7878083,-122.4136347,1,94109,OK,street_address
,,,Po Box 590444,,,0,,ZERO_RESULTS,
ROOFTOP,"2948 Folsom St, San Francisco, CA 94110, USA",ChIJG19DC0Z-j4ARWakc7F5RtWw,2948 Folsom St,37.7501624,-122.4141189,1,94110,OK,premise
ROOFTOP,"One Ferry Building, San Francisco, CA 94111, USA",ChIJWTGPjmaAhYARxz6l1hOj92w,1 Ferry Building,37.7955703,-122.3933208,1,94111,OK,"establishment,point_of_interest"
ROOFTOP,"17 Skylark Dr #45, Larkspur, CA 94939, USA",Eio0NSwgMTcgU2t5bGFyayBEciwgTGFya3NwdXIsIENBIDk0OTM5LCBVU0EiHhocChYKFAoSCV84SKuYkIWAEfLYjoCrOE7eEgI0NQ,17 Skylark Dr Apt 45,37.942793,-122.5456238,1,94939,OK,subpremise
APPROXIMATE,"San Francisco, CA, USA",ChIJIQBpAG2ahYAR_6128GcTUEo,575 20th St 113 1fl,37.7749295,-122.4194155,1,,OK,"locality,political"
ROOFTOP,"3751 Geary Blvd, San Francisco, CA 94118, USA",ChIJTZV8TDiHhYARnsqhKds6RuQ,3751 Geary Blvd,37.7810531,-122.4598865,1,94118,OK,street_address
ROOFTOP,"525 Edinburgh St, San Francisco, CA 94112, USA",ChIJyaYWKY5-j4ARyuO1X6t_9oQ,525 Eninburgh St,37.7207541,-122.4320927,1,94112,OK,premise
ROOFTOP,"1000 Guerrero St, San Francisco, CA 94110, USA",ChIJx8byJD5-j4ARBWObYOb0JBI,1000 Guerrero St,37.7549966,-122.4235873,1,94110,OK,premise
ROOFTOP,"1000 Guerrero St, San Francisco, CA 94110, USA",ChIJx8byJD5-j4ARBWObYOb0JBI,1000 Guerrero St,37.7549966,-122.4235873,1,94110,OK,premise
GEOMETRIC_CENTER,"2600 Bayshore Blvd, Dunedin, FL 34698, USA",ChIJqQmWirLzwogR-_1q0cRnM2o,2600 Bay Shore Blvd,28.0499117,-82.7804692,2,34698,OK,premise
RANGE_INTERPOLATED,"1324 Fitzgerald Ave, San Francisco, CA 94124, USA",EjExMzI0IEZpdHpnZXJhbGQgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEyNCwgVVNBIhsSGQoUChIJJ1dfdSJ_j4ARf2Zf6rBCwvMQrAo,1324 Fitzgerald Ave C,37.7225389,-122.3937675,1,94124,OK,street_address
ROOFTOP,"88 2nd St, Brooklyn, NY 11231, USA",ChIJJVy62ldawokRwqE7_whir6Y,88 2nd St,40.6779598,-73.992633,1,11231,OK,premise
ROOFTOP,"1120 Broadway, San Francisco, CA 94109, USA",ChIJ6yovK-yAhYAR2zzkbRcQNrg,1120 Broadway,37.7969464,-122.4156179,6,94109,OK,street_address
ROOFTOP,"4435 Mission St, San Francisco, CA 94112, USA",ChIJT5WZ_Yh-j4AR4GDslTZowOI,4435 Mission St,37.727121,-122.4326457,1,94112,OK,premise
ROOFTOP,"409 Gough St, San Francisco, CA 94102, USA",ChIJJ5ndlpiAhYARfiLhEGmPKfo,409 Gough St,37.7770923,-122.4231681,1,94102,OK,street_address
ROOFTOP,"546 Valencia St, San Francisco, CA 94110, USA",ChIJpUwg-CJ-j4ARoTsKa36LsXs,546 Valencia St,37.7641345,-122.4220234,2,94110,OK,street_address
RANGE_INTERPOLATED,"31 Kearny St, San Francisco, CA 94108, USA",EiozMSBLZWFybnkgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA4LCBVU0EiGhIYChQKEgn_RQdQiICFgBFxceTf2LiENRAf,31 Kearny St,37.7883286,-122.403722,1,94108,OK,street_address
ROOFTOP,"290 9th St, Jersey City, NJ 07302, USA",ChIJ9ZXPFkxXwokRL3_EU8bIuoQ,290 9th St,40.728684,-74.046496,3,7302,OK,street_address
ROOFTOP,"1552 Fillmore St, San Francisco, CA 94115, USA",ChIJ76O1p7mAhYARiWUN7gg4g6k,1552 Fillmore St,37.7840967,-122.4326346,2,94115,OK,street_address
ROOFTOP,"3325 24th St, San Francisco, CA 94110, USA",ChIJl38CuEB-j4ARr2J6xBPbVUw,3325 24th St,37.7520817,-122.4190885,1,94110,OK,street_address
ROOFTOP,"260 Wawona St, San Francisco, CA 94127, USA",ChIJzf5by-p9j4ARV6UjY9y9K1E,260 Wawona St,37.7391831,-122.4693466,2,94127,OK,premise
ROOFTOP,"2769 Lombard St, San Francisco, CA 94123, USA",ChIJkUsoNCuHhYARv75J5-st_fM,2769 Lombard St,37.7983542,-122.4470836,1,94123,OK,street_address
ROOFTOP,"1552 Fillmore St, San Francisco, CA 94115, USA",ChIJ76O1p7mAhYARiWUN7gg4g6k,1552 Fillmore St,37.7840967,-122.4326346,2,94115,OK,street_address
ROOFTOP,"22 Peace Plz, San Francisco, CA 94115, USA",ChIJDzWL0L6AhYAR_lMVYEDJ4t0,22 Peace Plaza  Ste 511,37.7852847,-122.429177,1,94115,OK,street_address
ROOFTOP,"2125 Lombard St, San Francisco, CA 94123, USA",ChIJg-eKudCAhYARsQHein73Rh8,2125 Lombard St,37.7995959,-122.4364723,4,94123,OK,premise
ROOFTOP,"601 Baker St, San Francisco, CA 94117, USA",ChIJj9JfJbKAhYARgkUwiGK4TY4,601 Baker St,37.7765818,-122.4417657,4,94117,OK,street_address
ROOFTOP,"1511 Jackson St #1, Oakland, CA 94612, USA",EioxLCAxNTExIEphY2tzb24gU3QsIE9ha2xhbmQsIENBIDk0NjEyLCBVU0EiHRobChYKFAoSCTVxlS9Lh4-AEYfX3sWPfH1qEgEx,1511 Jackson St Apt 1,37.8033351,-122.2647241,1,94612,OK,subpremise
ROOFTOP,"33 Kearny St, San Francisco, CA 94108, USA",ChIJyzVdUIiAhYAR3zSaNcuIFaY,33 Kearny St,37.7883469,-122.4037208,1,94108,OK,street_address
ROOFTOP,"529 Stevenson St #100, San Francisco, CA 94103, USA",EjMxMDAsIDUyOSBTdGV2ZW5zb24gU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTAzLCBVU0EiHxodChYKFAoSCVUGVOWEgIWAEX9B3tUBg8CPEgMxMDA,529 Stevenson St Unit 100,37.7811359,-122.410358,1,94103,OK,subpremise
ROOFTOP,"1510 Virginia St, Berkeley, CA 94703, USA",ChIJgap4JLx-hYARLEzbjugotOA,1510 Virginia St,37.8747189,-122.2818926,2,94703,OK,premise
ROOFTOP,"420 Judah St, San Francisco, CA 94122, USA",ChIJ2TJX1V2HhYARAq-1mCzNmVc,420 Judah St,37.762386,-122.4665591,1,94122,OK,street_address
ROOFTOP,"340 Grove St, Chicopee, MA 01020, USA",ChIJU2O_oI_d5okR3AYeSfimR_A,340 Grove St,42.150254,-72.581412,2,1020,OK,premise
ROOFTOP,"1031 Ocean Ave, San Francisco, CA 94112, USA",ChIJGwh2tix8j4ARCLIuQj09aXs,1031 Ocean Ave,37.7231141,-122.4536903,1,94112,OK,premise
ROOFTOP,"3131 Fillmore St, San Francisco, CA 94123, USA",ChIJL66ohdCAhYARIIEBYCUTSUE,3131 Fillmore St,37.7984027,-122.435972,2,94123,OK,street_address
ROOFTOP,"700 O'Farrell St #107, San Francisco, CA 94109, USA",EjMxMDcsIDcwMCBPJ0ZhcnJlbGwgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA5LCBVU0EiHxodChYKFAoSCa2qjRCRgIWAETKGreY14fZvEgMxMDc,700 Ofarrell St Apt 107,37.7856118,-122.4164638,1,94109,OK,subpremise
ROOFTOP,"517 Castro St, San Francisco, CA 94114, USA",ChIJxV0bJht-j4ARg_N99eBWUIU,517 Castro St,37.7605183,-122.4346253,2,94114,OK,premise
ROOFTOP,"131 Crown Cir, South San Francisco, CA 94080, USA",ChIJW4jH8dx7j4AR9O2tCZm-WZY,131 Crown Circle,37.66237,-122.455836,2,94080,OK,street_address
ROOFTOP,"1018 Taraval, San Francisco, CA 94116, USA",ChIJ1TG_sJF9j4AR_Lo62UlmTWI,1018 Taraval St,37.7431851,-122.4772686,1,94116,OK,street_address
,,,4104 24th St 572,,,0,,ZERO_RESULTS,
ROOFTOP,"901 Mission St, San Francisco, CA 94103, USA",ChIJp_8dnYaAhYARHvI6ArF3d-s,901 Mission St,37.7821905,-122.4066627,2,94103,OK,street_address
ROOFTOP,"5900 3rd St, San Francisco, CA 94124, USA",ChIJ_cAYKBl_j4ARy73O1acVfMQ,5900 3rd St,37.724666,-122.395268,1,94124,OK,premise
ROOFTOP,"4609 Mission St, San Francisco, CA 94112, USA",ChIJ__-iUo9-j4ARLzkmCcZcBmg,4609 Mission Street,37.724433,-122.4347249,1,94112,OK,street_address
ROOFTOP,"500 Howard St Fl 8th, San Francisco, CA 94105, USA",EjNGbCA4dGgsIDUwMCBIb3dhcmQgU3QsIFNhbiBGcmFuY2lzY28sIENBIDk0MTA1LCBVU0EiIhogChYKFAoSCWncDLN8gIWAEZDs6F5kYceyEgZGbCA4dGg,500 Howard St Fl 8th,37.7885306,-122.3967284,1,94105,OK,subpremise
ROOFTOP,"406 Dewey Blvd, San Francisco, CA 94116, USA",ChIJp141c-99j4ARwZimzmRq6-Y,406 Dewey Blvd,37.7474148,-122.4595907,1,94116,OK,street_address
ROOFTOP,"1574 N 9th Ave, San Luis, AZ 85349, USA",ChIJ5cSNLTRQ1oARzontYNuVYEk,1574 9th Ave,32.5062045,-114.7565663,1,85349,OK,premise
ROOFTOP,"975 Burnett Ave #15, San Francisco, CA 94131, USA",EjExNSwgOTc1IEJ1cm5ldHQgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEzMSwgVVNBIh4aHAoWChQKEgmPlfz3Cn6PgBGGxMaPocGKkBICMTU,975 Burnett Ave Apt 15,37.7476845,-122.4447554,1,94131,OK,subpremise
ROOFTOP,"975 Burnett Ave #15, San Francisco, CA 94131, USA",EjExNSwgOTc1IEJ1cm5ldHQgQXZlLCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEzMSwgVVNBIh4aHAoWChQKEgmPlfz3Cn6PgBGGxMaPocGKkBICMTU,975 Burnett Ave Apt 15,37.7476845,-122.4447554,1,94131,OK,subpremise
ROOFTOP,"Two Embarcadero Center, 2 Embarcadero Center B6, San Francisco, CA 94111, USA",Ek5CNiwgVHdvIEVtYmFyY2FkZXJvIENlbnRlciwgMiBFbWJhcmNhZGVybyBDZW50ZXIsIFNhbiBGcmFuY2lzY28sIENBIDk0MTExLCBVU0EiHhocChYKFAoSCblObwdhgIWAEes1RAY3ModLEgJCNg,2 Embarcadero Ctr Unit B6,37.7947881,-122.3984101,1,94111,OK,subpremise
ROOFTOP,"515 Broadway, Dobbs Ferry, NY 10522, USA",ChIJs8mxRmHrwokRuZ_pQm-Bu_4,515 Broadway,41.0189119,-73.8702992,1,10522,OK,premise
ROOFTOP,"2881 13th St, San Pablo, CA 94806, USA",ChIJEQ4I_Nl3hYAR_KnLEcoOIJk,2881 13th St,37.973754,-122.3508489,1,94806,OK,premise
ROOFTOP,"3145 Fillmore St, San Francisco, CA 94123, USA",ChIJH22hmtCAhYARLBnRGtgKYTc,3145 Fillmore St,37.7986071,-122.4360493,1,94123,OK,premise
ROOFTOP,"2948 Folsom St, San Francisco, CA 94110, USA",ChIJG19DC0Z-j4ARWakc7F5RtWw,2948 Folsom St,37.7501624,-122.4141189,1,94110,OK,premise
ROOFTOP,"331 Cortland Ave, San Francisco, CA 94110, USA",ChIJjfU9_Ft-j4ARPbMDyHjvd40,331 Cortland Ave,37.7393606,-122.4180022,1,94110,OK,street_address
ROOFTOP,"1748 Berkeley St, Santa Monica, CA 90404, USA",ChIJ7Z-65z-7woARc_FZYPgmmcQ,1748 Berkely St,34.0320592,-118.463564,1,90404,OK,street_address
ROOFTOP,"1748 Berkeley St, Santa Monica, CA 90404, USA",ChIJ7Z-65z-7woARc_FZYPgmmcQ,1748 Berkely St.,34.0320592,-118.463564,1,90404,OK,street_address
ROOFTOP,"435 Alhambra Rd, South San Francisco, CA 94080, USA",ChIJ2eerj4V5j4ARer-31YpY-Vk,435 Alhambra Rd.,37.6425287,-122.4390933,2,94080,OK,premise
ROOFTOP,"941 Kearny St, San Francisco, CA 94133, USA",ChIJTT1A6vSAhYARbYu_5_V4y40,941 Kearny St,37.7966798,-122.4054378,1,94133,OK,street_address
