business_id,name,score,year,formatted_address,formatted_name
4479,COURTNEY'S PRODUCE II,92.0,2017.0,"101 Castro St, San Francisco, CA 94114, USA",courtney's
4479,COURTNEY'S PRODUCE II,82.0,2018.0,"101 Castro St, San Francisco, CA 94114, USA",courtney's
4479,COURTNEY'S PRODUCE II,85.0,2015.0,"101 Castro St, San Francisco, CA 94114, USA",courtney's
4480,STARBUCKS COFFEE,98.0,2018.0,"3995 24th St, San Francisco, CA 94114, USA",starbucks
4480,STARBUCKS COFFEE,98.0,2017.0,"3995 24th St, San Francisco, CA 94114, USA",starbucks
4480,STARBUCKS COFFEE,100.0,2016.0,"3995 24th St, San Francisco, CA 94114, USA",starbucks
4480,STARBUCKS COFFEE,100.0,2016.0,"3995 24th St, San Francisco, CA 94114, USA",starbucks
4481,BI RITE MARKET,93.0,2018.0,"3639 18th St, San Francisco, CA 94110, USA",bi
4481,BI RITE MARKET,100.0,2016.0,"3639 18th St, San Francisco, CA 94110, USA",bi
4483,NOE BAGEL,92.0,2016.0,"3933 24th St, San Francisco, CA 94114, USA",noe
4483,NOE BAGEL,94.0,2016.0,"3933 24th St, San Francisco, CA 94114, USA",noe
4483,NOE BAGEL,90.0,2017.0,"3933 24th St, San Francisco, CA 94114, USA",noe
4495,GOLDEN GATE MEAT CO,100.0,2016.0,"One Ferry Building, San Francisco, CA 94111, USA",golden
4495,GOLDEN GATE MEAT CO,100.0,2017.0,"One Ferry Building, San Francisco, CA 94111, USA",golden
4495,GOLDEN GATE MEAT CO,100.0,2018.0,"One Ferry Building, San Francisco, CA 94111, USA",golden
4500,CHURCH STREET GROCERY,92.0,2015.0,"300 Church St, Bullhead City, AZ 86442, USA",church
4500,CHURCH STREET GROCERY,85.0,2017.0,"300 Church St, Bullhead City, AZ 86442, USA",church
4500,CHURCH STREET GROCERY,98.0,2018.0,"300 Church St, Bullhead City, AZ 86442, USA",church
4502,LA LOMA PRODUCE #7,74.0,2018.0,"2695 San Bruno Ave, San Francisco, CA 94134, USA",la
4502,LA LOMA PRODUCE #7,82.0,2016.0,"2695 San Bruno Ave, San Francisco, CA 94134, USA",la
4502,LA LOMA PRODUCE #7,77.0,2017.0,"2695 San Bruno Ave, San Francisco, CA 94134, USA",la
4502,LA LOMA PRODUCE #7,77.0,2016.0,"2695 San Bruno Ave, San Francisco, CA 94134, USA",la
4512,BRANNAN STREET CAFE,94.0,2017.0,"274 Brannan St, San Francisco, CA 94107, USA",brannan
4519,HSS 121 CAFE,96.0,2016.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",hss
4519,HSS 121 CAFE,96.0,2016.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",hss
4519,HSS 121 CAFE,96.0,2017.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",hss
5071,CAFE-ROSSO,84.0,2016.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",cafe-rosso
5071,CAFE-ROSSO,96.0,2018.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",cafe-rosso
5071,CAFE-ROSSO,90.0,2017.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",cafe-rosso
5607,SFSU STATION CAFE,87.0,2017.0,"1600 Holloway Ave, San Francisco, CA 94132, USA",sfsu
4533,GOURMET DELIGHT,91.0,2015.0,"1045 Stockton St, San Francisco, CA 94108, USA",gourmet
4533,GOURMET DELIGHT,79.0,2017.0,"1045 Stockton St, San Francisco, CA 94108, USA",gourmet
4533,GOURMET DELIGHT,90.0,2016.0,"1045 Stockton St, San Francisco, CA 94108, USA",gourmet
4535,GUARDINO'S SOUVENIR & GIFT SHOP,94.0,2016.0,"2801 Taylor St, San Francisco, CA 94133, USA",guardino's
4535,GUARDINO'S SOUVENIR & GIFT SHOP,96.0,2018.0,"2801 Taylor St, San Francisco, CA 94133, USA",guardino's
4538,LUCCA FOOD & WINE SHOP,90.0,2016.0,"1899 Irving St, San Francisco, CA 94122, USA",lucca
4538,LUCCA FOOD & WINE SHOP,94.0,2017.0,"1899 Irving St, San Francisco, CA 94122, USA",lucca
4538,LUCCA FOOD & WINE SHOP,96.0,2016.0,"1899 Irving St, San Francisco, CA 94122, USA",lucca
4538,LUCCA FOOD & WINE SHOP,96.0,2018.0,"1899 Irving St, San Francisco, CA 94122, USA",lucca
4539,PEET'S COFFEE & TEA,92.0,2017.0,"54 W Portal Ave, San Francisco, CA 94127, USA",peet's
4539,PEET'S COFFEE & TEA,96.0,2016.0,"54 W Portal Ave, San Francisco, CA 94127, USA",peet's
4542,SHAWS SAN FRANCISCO,94.0,2016.0,"122 W Portal Ave, San Francisco, CA 94127, USA",shaws
4542,SHAWS SAN FRANCISCO,91.0,2017.0,"122 W Portal Ave, San Francisco, CA 94127, USA",shaws
4544,GENE'S LIQUOR,94.0,2016.0,"2201 Taraval, San Francisco, CA 94116, USA",gene's
4544,GENE'S LIQUOR,94.0,2017.0,"2201 Taraval, San Francisco, CA 94116, USA",gene's
4544,GENE'S LIQUOR,96.0,2017.0,"2201 Taraval, San Francisco, CA 94116, USA",gene's
4548,STARBUCKS COFFEE,98.0,2016.0,"2801 Jones St, San Francisco, CA 94133, USA",starbucks
4548,STARBUCKS COFFEE,94.0,2016.0,"2801 Jones St, San Francisco, CA 94133, USA",starbucks
4548,STARBUCKS COFFEE,96.0,2018.0,"2801 Jones St, San Francisco, CA 94133, USA",starbucks
4548,STARBUCKS COFFEE,92.0,2017.0,"2801 Jones St, San Francisco, CA 94133, USA",starbucks
4553,RUTILY'S MARKET,92.0,2017.0,"1700 Filbert St, San Francisco, CA 94123, USA",rutily's
4553,RUTILY'S MARKET,92.0,2016.0,"1700 Filbert St, San Francisco, CA 94123, USA",rutily's
4555,UNITED LIQUORS & DELI,94.0,2017.0,"2401 Chestnut St, Everett, WA 98201, USA",united
4555,UNITED LIQUORS & DELI,92.0,2016.0,"2401 Chestnut St, Everett, WA 98201, USA",united
4558,KING'S BAKERY,89.0,2016.0,"2846 Mission St, San Francisco, CA 94110, USA",king's
4558,KING'S BAKERY,88.0,2017.0,"2846 Mission St, San Francisco, CA 94110, USA",king's
4558,KING'S BAKERY,86.0,2018.0,"2846 Mission St, San Francisco, CA 94110, USA",king's
4559,PACIFIC FOOD MART,92.0,2015.0,"2199 Sutter St, San Francisco, CA 94115, USA",pacific
4559,PACIFIC FOOD MART,89.0,2018.0,"2199 Sutter St, San Francisco, CA 94115, USA",pacific
4584,KERY MARKET,94.0,2018.0,"648 Andover St, Lowell, MA 01852, USA",kery
4584,KERY MARKET,94.0,2017.0,"648 Andover St, Lowell, MA 01852, USA",kery
4584,KERY MARKET,98.0,2016.0,"648 Andover St, Lowell, MA 01852, USA",kery
4584,KERY MARKET,98.0,2017.0,"648 Andover St, Lowell, MA 01852, USA",kery
4584,KERY MARKET,96.0,2016.0,"648 Andover St, Lowell, MA 01852, USA",kery
4584,KERY MARKET,92.0,2015.0,"648 Andover St, Lowell, MA 01852, USA",kery
4586,THE CAKE HOUSE,92.0,2016.0,"5169 Mission St, San Francisco, CA 94112, USA",the
4586,THE CAKE HOUSE,96.0,2016.0,"5169 Mission St, San Francisco, CA 94112, USA",the
4586,THE CAKE HOUSE,82.0,2017.0,"5169 Mission St, San Francisco, CA 94112, USA",the
4588,PICCOLO PETES,79.0,2017.0,"2155 Bayshore Blvd, San Francisco, CA 94134, USA",piccolo
4590,TAQUERIA CAN-CUN  RESTAURANT,87.0,2017.0,"1003 Market St, Laredo, TX 78040, USA",taqueria
4590,TAQUERIA CAN-CUN  RESTAURANT,80.0,2016.0,"1003 Market St, Laredo, TX 78040, USA",taqueria
4590,TAQUERIA CAN-CUN  RESTAURANT,92.0,2018.0,"1003 Market St, Laredo, TX 78040, USA",taqueria
4590,TAQUERIA CAN-CUN  RESTAURANT,82.0,2016.0,"1003 Market St, Laredo, TX 78040, USA",taqueria
4592,E-Z STOP MARKET,94.0,2016.0,"2203 Geneva Ave, San Francisco, CA 94134, USA",e-z
4592,E-Z STOP MARKET,94.0,2017.0,"2203 Geneva Ave, San Francisco, CA 94134, USA",e-z
4592,E-Z STOP MARKET,92.0,2015.0,"2203 Geneva Ave, San Francisco, CA 94134, USA",e-z
4593,BISCOFF COFFEE CORNER,98.0,2016.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",biscoff
4593,BISCOFF COFFEE CORNER,96.0,2017.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",biscoff
4593,BISCOFF COFFEE CORNER,98.0,2018.0,"Beach St & The Embarcadero, San Francisco, CA 94133, United States",biscoff
4594,DOUBLE ROCK GROCERY,90.0,2017.0,"2830 Ingalls St, San Francisco, CA 94124, USA",double
4594,DOUBLE ROCK GROCERY,94.0,2015.0,"2830 Ingalls St, San Francisco, CA 94124, USA",double
4598,RINCON MARKET,90.0,2018.0,"98 Howard St, South Easton, MA 02375, USA",rincon
4598,RINCON MARKET,90.0,2017.0,"98 Howard St, South Easton, MA 02375, USA",rincon
