business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month,MA,formatted_name,formatted_address
93097,FK FROZEN CUSTARD BARS,698 GUERRERO ST.,San Francisco,CA,94110,,,14153719050,100.0,2017-10-10,routine,2017.0,10.0,100.0,FK FROZEN,698 GUERRERO
86110,FLATIRON WINES SF INC.,2 NEW MONTGOMERY ST,San Francisco,CA,94105,,,14155771946,94.0,2018-04-30,routine,2018.0,4.0,96.0,FLATIRON WINES,2 NEW
92592,FLEUR DE SEL,308 KEARNY ST ,San Francisco,CA,94108,,,14152903391,66.0,2017-12-21,routine,2017.0,12.0,66.0,FLEUR DE,308 KEARNY
90268,FLIK @ THE URBAN SCHOOL,1563 PAGE ST ,San Francisco,CA,94117,,,14152487557,100.0,2018-03-26,routine,2018.0,3.0,98.0,FLIK @,1563 PAGE
90269,FLIK @ URBAN SCHOOL,1639 OAK ST ,San Francisco,CA,94117,,,14156262919,100.0,2018-03-26,routine,2018.0,3.0,98.0,FLIK @,1639 OAK
87281,FLOR DE CAFE,1020 VALENCIA ST.,San Francisco,CA,94110,,,14153333335,92.0,2018-02-01,routine,2018.0,2.0,92.0,FLOR DE,1020 VALENCIA
59637,FLOUR & WATER,2401 HARRISON ST ,San Francisco,CA,94110,37.758913,-122.412426,14158267000,86.0,2018-01-23,routine,2018.0,1.0,84.5,FLOUR &,2401 HARRISON
87486,FLOUR CRAFT BAKERY,244 CLEMENT ST ,San Francisco,CA,94118,,,14153859180,100.0,2016-10-02,routine,2016.0,10.0,100.0,FLOUR CRAFT,244 CLEMENT
69562,FLOURCHYLDE BAKERY,85 BARTLETT ST ,San Francisco,CA,94110,,,14158937700,100.0,2016-05-05,routine,2016.0,5.0,100.0,FLOURCHYLDE BAKERY,85 BARTLETT
68128,FLOURCHYLDE BAKERY,50 POST ST ,San Francisco,CA,94104,,,14158937700,100.0,2018-05-10,routine,2018.0,5.0,100.0,FLOURCHYLDE BAKERY,50 POST
3070,FLOWER MARKET CAFE,698 BRANNAN ST ,San Francisco,CA,94107,37.775664,-122.399999,14154957162,74.0,2018-04-19,routine,2018.0,4.0,74.5,FLOWER MARKET,698 BRANNAN
87648,FLY BAR-DIVISADERO,762 DIVISADERO ST ,San Francisco,CA,94117,,,,86.0,2018-04-05,routine,2018.0,4.0,90.0,FLY BAR-DIVISADERO,762 DIVISADERO
38479,FLY TRAP,606 FOLSOM ST ,San Francisco,CA,94107,37.785404,-122.396979,14152430580,96.0,2017-04-19,routine,2017.0,4.0,91.5,FLY TRAP,606 FOLSOM
74591,"FLYING NINJA, INC.",2801 LEAVENWORTH ST #1011,San Francisco,CA,94133,,,14152926255,92.0,2017-12-13,routine,2017.0,12.0,91.0,"FLYING NINJA,",2801 LEAVENWORTH
68366,FLYING PIG BISTRO,433 SOUTH VAN NESS AVE ,San Francisco,CA,94103,37.766324,-122.417565,14159341234,96.0,2018-07-12,routine,2018.0,7.0,91.5,FLYING PIG,433 SOUTH
5801,FLYNN ELEMENTARY SCHOOL,3125 CESAR CHAVEZ ST ,San Francisco,CA,94110,37.748264,-122.41197,14156955770,100.0,2018-02-28,routine,2018.0,2.0,100.0,FLYNN ELEMENTARY,3125 CESAR
88675,FLYWHEEL COFFEE ROASTERS,672 STANYAN ST ,San Francisco,CA,94117,,,14156824023,96.0,2018-05-29,routine,2018.0,5.0,96.0,FLYWHEEL COFFEE,672 STANYAN
94540,FOAM USA LLC,1745 TARAVAL ST ,San Francisco,CA,94116,,,14156060018,100.0,2018-04-17,routine,2018.0,4.0,100.0,FOAM USA,1745 TARAVAL
13831,FOCACCIA MARKET BAKERY,119 SACRAMENTO ST A,San Francisco,CA,94111,37.794543,-122.39703700000001,14153972900,83.0,2017-11-15,routine,2017.0,11.0,77.0,FOCACCIA MARKET,119 SACRAMENTO
79299,FOCACCIA MARKET BAKERY,1198 MISSION ST ,San Francisco,CA,94103,,,14153674233,92.0,2018-04-12,routine,2018.0,4.0,87.5,FOCACCIA MARKET,1198 MISSION
68037,FOCACCIA MARKET BAKERY,185 BERRY ST #1430,San Francisco,CA,94107,37.776002000000005,-122.39295800000001,14153972900,81.0,2018-05-01,routine,2018.0,5.0,86.5,FOCACCIA MARKET,185 BERRY
65635,FOCACCIA MARKET BAKERY,455 MARKET ST 150,San Francisco,CA,94105,37.791227,-122.398872,14153972900,100.0,2018-07-05,routine,2018.0,7.0,90.5,FOCACCIA MARKET,455 MARKET
69501,FOG CITY,1300 BATTERY ST ,San Francisco,CA,94111,,,14159822000,92.0,2018-06-13,routine,2018.0,6.0,94.0,FOG CITY,1300 BATTERY
3437,FOG HARBOR FISH HOUSE,PIER 39  SPACE A202,San Francisco,CA,94133,37.808240000000005,-122.41018899999999,14154212442,87.0,2017-11-20,routine,2017.0,11.0,86.5,FOG HARBOR,PIER 39
85601,FOGO DE CHAO,201 03RD ST SUITE 100,San Francisco,CA,94103,,,14152544523,96.0,2017-12-14,routine,2017.0,12.0,96.0,FOGO DE,201 03RD
70912,FOLSOM STREET FOUNDRY,1425 FOLSOM ST ,San Francisco,CA,94103,,,14155127000,92.0,2017-10-26,routine,2017.0,10.0,96.0,FOLSOM STREET,1425 FOLSOM
61390,FONDUE COWBOY,1052 FOLSOM ST ,San Francisco,CA,94103,37.777504,-122.406948,14155178434,96.0,2018-03-13,routine,2018.0,3.0,95.0,FONDUE COWBOY,1052 FOLSOM
91917,FOOD AND LIQUOR WORLD,728 POST ST ,San Francisco,CA,94102,,,,89.0,2017-10-20,routine,2017.0,10.0,89.0,FOOD AND,728 POST
61514,FOODS CO #357,1800 FOLSOM ST ,San Francisco,CA,94103,37.767907,-122.41558400000001,14158844576,88.0,2018-04-25,routine,2018.0,4.0,86.5,FOODS CO,1800 FOLSOM
7748,FOODS CO. #351,345 WILLIAMS AVE ,San Francisco,CA,94124,37.730164,-122.39911399999998,14153301870,92.0,2018-03-27,routine,2018.0,3.0,91.0,FOODS CO.,345 WILLIAMS
92382,FOOTHILL MARKET,3004 SAN BRUNO AVE.,San Francisco,CA,94134,,,14152527070,89.0,2017-11-20,routine,2017.0,11.0,89.0,FOOTHILL MARKET,3004 SAN
2893,FOREIGN CINEMA,2534 MISSION ST ,San Francisco,CA,94110,37.756417,-122.418884,14154187600,88.0,2018-05-23,routine,2018.0,5.0,87.0,FOREIGN CINEMA,2534 MISSION
86590,FORK AND SPOON PRODUCTIONS,"2565 03RD ST, #336",San Francisco,CA,94107,,,14158600798,94.0,2018-07-16,routine,2018.0,7.0,97.0,FORK AND,2565 03RD
