accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"2708 San Bruno Ave, San Francisco, CA 94134, USA",ChIJ86De-uJ-j4ARrxR8Cv1zKNs,2708 SAN BRUNO AVE ,37.7274187,-122.4036986,2,94134,OK,street_address
ROOFTOP,"3829 Mission St, San Francisco, CA 94110, USA",ChIJcTdBnGB-j4ARlEV-n5CIQNU,3829 MISSION ST ,37.7356739,-122.4243616,1,94110,OK,premise
ROOFTOP,"3780 Mission St, San Francisco, CA 94110, USA",ChIJQxSFpGB-j4AR17KkGcNtPtw,3780 MISSION ST ,37.7362762,-122.4245828,1,94110,OK,premise
ROOFTOP,"1 Market St, San Francisco, CA 94105, USA",ChIJrRkIGGSAhYARUmBMkCt06yA,1 MARKET ST ,37.7940057,-122.3949618,1,94105,OK,street_address
ROOFTOP,"4919 Mission St, San Francisco, CA 94112, USA",ChIJPW8j34R-j4ARcu942oNJffA,4919 MISSION ST B,37.7195681,-122.4383413,1,94112,OK,premise
,,,55 04TH ST ,,,0,,ZERO_RESULTS,
ROOFTOP,"3301 Lyon St, San Francisco, CA 94123, USA",ChIJN4bDZ9WGhYARsk0pjhDwd1Q,3301 LYON ST ,37.8019913,-122.4486565,1,94123,OK,street_address
ROOFTOP,"865 Market St, San Francisco, CA 94103, USA",ChIJrZxI34WAhYARcySSMXoScFM,865 MARKET ST ,37.7840659,-122.4065571,2,94103,OK,street_address
,,,82 01ST ST ,,,0,,ZERO_RESULTS,
ROOFTOP,"2 Townsend St, San Francisco, CA 94107, USA",ChIJD0166XeAhYARqOESev9o--4,2 TOWNSEND ST ,37.7822907,-122.3888066,1,94107,OK,premise
ROOFTOP,"43 O'Farrell St, San Francisco, CA 94108, USA",ChIJB5IQl4iAhYARXMOIh6BDSMQ,43 O'FARRELL ST,37.7866338,-122.4054323,1,94108,OK,street_address
