accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
GEOMETRIC_CENTER,"Pier 45, Shed D-1, San Francisco, CA 94133, United States",ChIJe0eiosd_j4AR69nUUxEbOXI,Pier 45 Shed D,37.8103646,-122.4188228,1,94133,OK,"establishment,food,point_of_interest"
ROOFTOP,"781 Broadway, New York, NY 10003, USA",ChIJ-cLoKppZwokRpwlU50E17Tk,781-785 Broadway St,40.7315603,-73.9918681,1,10003,OK,street_address
ROOFTOP,"2846 Mission St, San Francisco, CA 94110, USA",ChIJdVZM0kB-j4ARssdpRco0PlI,2846 Mission St,37.7513563,-122.4186541,1,94110,OK,premise
ROOFTOP,"3024 San Bruno Ave, San Francisco, CA 94134, USA",ChIJd5sow-F-j4AR2ZHyW4GO9GU,3024 San Bruno Ave B,37.7236144,-122.4021494,1,94134,OK,premise
ROOFTOP,"3665 Sacramento St, San Francisco, CA 94118, USA",ChIJJ7IFZDGHhYARirqzueOUjq0,3665 Sacramento St,37.787332,-122.452982,1,94118,OK,street_address
ROOFTOP,"254 Laguna Honda Blvd, San Francisco, CA 94116, USA",ChIJQwypLO59j4ARrxg05HLJnIU,254 Laguna Honda Blvd,37.749514,-122.460946,1,94116,OK,street_address
ROOFTOP,"2640 Sloat Blvd, San Francisco, CA 94116, USA",ChIJ332BInB9j4AR1FjDTAMRwBQ,2640 Sloat Blvd,37.7357077,-122.5027964,1,94116,OK,premise
ROOFTOP,"700 Irving St, Denver, CO 80204, USA",ChIJ37Uv1FV_bIcRjahQ-702GFs,700 Irving St,39.7277085,-105.0297382,2,80204,OK,premise
ROOFTOP,"2889 Mission St, San Francisco, CA 94110, USA",ChIJ3Yon1EZ-j4AR07A0KZTxgSo,2889 Mission St,37.7508992,-122.4181121,1,94110,OK,premise
RANGE_INTERPOLATED,"2240 Crestmore Dr, Franklin, KY 42134, USA",EioyMjQwIENyZXN0bW9yZSBEciwgRnJhbmtsaW4sIEtZIDQyMTM0LCBVU0EiGxIZChQKEglFABE6FshliBGDhPKBejUHpBDAEQ,2240 Crestmore Dr,36.7115169,-86.5667993,1,42134,OK,street_address
ROOFTOP,"601 Townsend St, San Francisco, CA 94103, USA",ChIJ6zK3zSx-j4AR4_RAsghDjds,601 Townsend St,37.7712057,-122.4016624,5,94103,OK,street_address
ROOFTOP,"5214D Diamond Heights Blvd, San Francisco, CA 94131, USA",ChIJr7U-l3N-j4AR5YXpNNH2O28,5214d Diamond Heights Blvd,37.7437074,-122.4399828,1,94131,OK,street_address
ROOFTOP,"555 California St #001, San Francisco, CA 94104, USA",EjQwMDEsIDU1NSBDYWxpZm9ybmlhIFN0LCBTYW4gRnJhbmNpc2NvLCBDQSA5NDEwNCwgVVNBIh8aHQoWChQKEgnjt9gwioCFgBFuCoFo9mgAnhIDMDAx,36  001 555 California St,37.7920903,-122.4036761,1,94104,OK,subpremise
ROOFTOP,"555 California St, San Francisco, CA 94104, USA",ChIJgVDtsouAhYARvYch9NRWjkI,555 California,37.792062,-122.4037148,1,94104,OK,"establishment,point_of_interest"
ROOFTOP,"415 Brannan St, San Francisco, CA 94107, USA",ChIJmXJWHtZ_j4ARMQGm0-FAXQ4,415 Brannan St,37.7796298,-122.3945599,1,94107,OK,premise
ROOFTOP,"2 Harrison St, San Francisco, CA 94105, USA",ChIJhzDkbXCAhYARC5mwJyuiJQw,2 Harrison Street,37.7894748,-122.3892934,1,94105,OK,premise
