business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,score,date,type,year,month
10280,TENDERLOIN ELEMENTARY SCHOOL,627 TURK ST,San Francisco,CA,94102,37.782034,-122.419777,14157493567,88.0,2018-04-05,routine,2018.0,4.0
74436,TENDERLOIN GROCERY & LIQUOR,62 TURK ST ,San Francisco,CA,94102,,,14155635532,94.0,2015-12-22,routine,2015.0,12.0
74436,TENDERLOIN GROCERY & LIQUOR,62 TURK ST ,San Francisco,CA,94102,,,14155635532,96.0,2016-08-24,routine,2016.0,8.0
74436,TENDERLOIN GROCERY & LIQUOR,62 TURK ST ,San Francisco,CA,94102,,,14155635532,96.0,2017-10-13,routine,2017.0,10.0
74436,TENDERLOIN GROCERY & LIQUOR,62 TURK ST ,San Francisco,CA,94102,,,14155635532,92.0,2018-06-04,routine,2018.0,6.0
76218,TENDERLOIN MARKET & DELI,200 LEAVENWORTH  ,San Francisco,CA,94102,,,14157174534,69.0,2015-10-27,routine,2015.0,10.0
76218,TENDERLOIN MARKET & DELI,200 LEAVENWORTH  ,San Francisco,CA,94102,,,14157174534,86.0,2016-05-23,routine,2016.0,5.0
76218,TENDERLOIN MARKET & DELI,200 LEAVENWORTH  ,San Francisco,CA,94102,,,14157174534,79.0,2017-03-09,routine,2017.0,3.0
76218,TENDERLOIN MARKET & DELI,200 LEAVENWORTH  ,San Francisco,CA,94102,,,14157174534,88.0,2017-09-18,routine,2017.0,9.0
76218,TENDERLOIN MARKET & DELI,200 LEAVENWORTH  ,San Francisco,CA,94102,,,14157174534,87.0,2018-07-09,routine,2018.0,7.0
