,formatted_address,input_string,latitude,longitude,name,number_of_results,price_level,rating,status
47,"1760 Cesar Chavez l, San Francisco, CA 94101, USA",creperie saint germain,37.750466,-122.39495,Creperie Saint Germain,1,,0.0,OK
48,"2763 Mission St, San Francisco, CA 94110, USA",casa de la condesa,37.7529366,-122.4183344,Casa De La Condesa,1,,4.5,OK
49,"12 4th St, San Francisco, CA 94103, USA",hotel san francisco,37.7852282,-122.4056393,Hotel Zelos San Francisco,1,,4.2,OK
50,"576 Haight St, San Francisco, CA 94117, USA",memphis minnies bbq joint,37.7720621,-122.4316847,Memphis Minnie's BBQ Joint,1,2.0,4.2,OK
51,"691 Eddy St #249, San Francisco, CA 94109, USA",kentucky fried chicken,37.7829894,-122.418906,KFC,1,1.0,2.8,OK
52,"3727 Geary Blvd, San Francisco, CA 94118, USA",toyama japanese restaurant,37.78094129999999,-122.4594453,Toyama Japanese Restaurant,1,2.0,4.1,OK
53,"1051 Stockton St, San Francisco, CA 94108, USA",gourmet kitchen,37.7956434,-122.4083694,Gourmet Kitchen,2,,4.0,OK
54,"295 Eddy St, San Francisco, CA 94102, USA",z zoul cafe,37.7838528,-122.4122931,Z Zoul Cafe,1,,4.6,OK
55,"2934 24th St, San Francisco, CA 94110, USA",casa lucas mkt,37.7528007,-122.4106944,Casa Lucas Market,1,,4.3,OK
56,"8 Sansome St, San Francisco, CA 94104, USA",fullskoop inc,37.7908097,-122.40047,Full Skoop,1,,3.5,OK
57,,505 pinterest dining garage level kitchen and 2nd floor staging,,,,0,,,ZERO_RESULTS
58,"680 2nd St, San Francisco, CA 94107, USA",slice house by tony gemignani,37.7808994,-122.3913046,Slice House by Tony Gemignani,1,1.0,4.5,OK
59,"846 Geary Blvd, San Francisco, CA 94109, USA",papis sf,37.7863953,-122.4172554,Papi's SF,1,2.0,4.6,OK
60,"57 Walter U Lum Pl, San Francisco, CA 94108, USA",t bear cafe,37.7950194,-122.4059214,TEA BEAR CAFE,1,,4.5,OK
61,"503 Clement St, San Francisco, CA 94118, USA",wing lee bakery,37.7828277,-122.4645816,Wing Lee Bakery,1,1.0,4.4,OK
62,"432 Octavia St #1a, San Francisco, CA 94102, USA",smitten ice cream,37.7763629,-122.4241918,Smitten Ice Cream,1,2.0,4.6,OK
63,"3331 24th St, San Francisco, CA 94110, USA",beer nerds,37.7520105,-122.4192514,Beer Nerds,1,2.0,4.7,OK
64,"2130 Fulton St, San Francisco, CA 94117, USA",bon appetit  usf crossroads,37.7765651,-122.4502614,The Market Cafe,1,2.0,3.4,OK
65,"4092 18th St, San Francisco, CA 94114, USA",chocolate chair castro stree,37.76103,-122.4346628,Chocolate Chair,1,,3.7,OK
66,"1028 Market St, San Francisco, CA 94103, USA",el pipila llc,37.7818789,-122.4113215,El Pipila,1,1.0,4.4,OK
67,"648 Pacific Ave, San Francisco, CA 94133, USA",yin du wonton noodle llc,37.7970477,-122.4064596,Yin Du Wonton Noodle,1,1.0,4.1,OK
68,"355 11th St, San Francisco, CA 94103, USA",agricole ii,37.7715277,-122.4129008,Bar Agricole,1,3.0,4.2,OK
69,"100 Brannan St, San Francisco, CA 94107, USA",cento osteria,37.7849903,-122.3883706,CENTO Osteria,1,,4.6,OK
70,"1318 Burlingame Ave, Burlingame, CA 94010, USA",tuba express mediterranean kebab and gyro,37.5783969,-122.347737,Mediterranean Kebab,1,2.0,4.4,OK
71,"3157 Fillmore St, San Francisco, CA 94123, USA",pizza orgasmica,37.79872599999999,-122.436039,Pizza Orgasmica,1,3.0,3.5,OK
72,"522 Jones St, San Francisco, CA 94102, USA",red chilli,37.7860601,-122.41288,Red Chilli,1,2.0,4.3,OK
73,"701 Randolph St, San Francisco, CA 94132, USA",wow thai kitchen,37.7141272,-122.4690635,Wow Thai Bistro,1,,4.7,OK
74,"3111 24th St, San Francisco, CA 94110, USA",ritu indian soul food,37.7522761,-122.4144939,Ritu - Indian Soul Food,1,2.0,4.2,OK
75,"3244 Scott St, San Francisco, CA 94123, USA",sf hole in the wall pizza,37.7999155,-122.4409171,SF Hole in the Wall Pizza,1,1.0,4.2,OK
76,"3915 24th St, San Francisco, CA 94114, USA",sultans kebab,37.751446,-122.4300893,Sultan’s Kebab,1,1.0,4.8,OK
77,"348 Pine St, San Francisco, CA 94104, USA",dillers deli,37.7921001,-122.4018752,Diller's,1,1.0,3.9,OK
78,"UK, 8 Norfolk St, Cambridge CB1 2LF, United Kingdom",eko kitchen,52.20470299999999,0.137061,Eko Kitchen - African Restaurant In Cambridge with finger licking experience,1,,4.1,OK
79,"708 Kearny St, San Francisco, CA 94108, USA",poke delish,37.794666,-122.404691,Poke Delish,1,,3.9,OK
80,"1820 Clement St, San Francisco, CA 94121, USA",ace king bbq,37.7824502,-122.4789427,Aceking BBQ,1,,5.0,OK
81,"422 Haight St, San Francisco, CA 94117, USA",wing wings,37.7724268,-122.4292973,Wing Wings,1,1.0,4.3,OK
82,"870 Valencia St, San Francisco, CA 94110, USA",cafe valencia,37.7589628,-122.4215326,Borderlands Cafe,1,1.0,4.4,OK
83,"2612, 711 Fillmore St, San Francisco, CA 94117, United States",alamo square cafe,37.7760343,-122.4314537,Alamo Square Cafe,1,2.0,4.3,OK
84,"428 11th St, San Francisco, CA 94103, USA",kokio republic,37.76976860000001,-122.4120492,Soma StrEat Food Park,3,2.0,4.3,OK
85,"1737 Post St, San Francisco, CA 94115, USA",osakaya restaurant,37.7851828,-122.4304152,Osakaya Restaurant,1,1.0,3.4,OK
86,"1801 Haight St, San Francisco, CA 94117, USA",cha cha cha restaurant,37.769266,-122.4519974,Cha Cha Cha,2,2.0,4.2,OK
87,"3275 22nd St, San Francisco, CA 94110, USA",sugoi sushi and catering,37.7552452,-122.4204094,Mission Picnic,1,,4.4,OK
88,,ediths food company inc,,,,0,,,ZERO_RESULTS
89,"493 Pine St, San Francisco, CA 94104, USA",udon underground,37.7916102,-122.4039406,Udon Underground,1,,5.0,OK
90,"4601 Geary Blvd, San Francisco, CA 94118, USA",back room,37.78066099999999,-122.4687255,Back Room,1,,0.0,OK
91,"2499 Folsom St, San Francisco, CA 94110, USA",joey and pats baskery  coffee,37.7574107,-122.4144293,Joey & Pat's Bakery & Coffee,1,,4.6,OK
92,"614 Polk St, San Francisco, CA 94102, USA",r caffe,37.7824687,-122.4189151,R Caffe,1,1.0,3.5,OK
93,,jp cafe inc,,,,0,,,ZERO_RESULTS
94,"800 Taraval, San Francisco, CA 94116, USA",gold mirror italian restaurant,37.743301,-122.474834,The Gold Mirror Italian Restaurant,1,2.0,4.5,OK
95,,la guerreras kitchen,,,,0,,,ZERO_RESULTS
96,"2486 Sacramento St, San Francisco, CA 94115, USA",bay subs  deli,37.7900029,-122.4337984,Bay Subs & Deli,1,1.0,4.5,OK
