Analysis Neighborhood,Block Address,ZIP Code,the_geom,Buyout Agreement Date,Buyout Amount,Number of Tenants
Mission,1000 Block of Natoma Street,94103,"(37.772605880234, -122.417015964837)",5/17/16,"$27,093.75 ",1
Excelsior,1600 Block of Geneva Avenue,94134,"(37.711581641564, -122.427965645232)",8/16/17,"$28,239.41 ",3
Visitacion Valley,800 Block of Rutland Street,94134,"(37.712002001621, -122.407607976137)",1/19/16,"$24,000.00 ",2
North Beach,1000 Block of Montgomery Street,94133,"(37.798706214269, -122.403889712323)",2/1/16,"$26,385.96 ",1
Inner Richmond,700 Block of 12th Avenue,94118,"(37.774139884733, -122.47029938029)",5/4/17,"$17,201.00 ",1
Pacific Heights,2700 Block of Clay Street,94115,"(37.790132681711, -122.438304505733)",6/3/16,"$16,812.53 ",1
Pacific Heights,2700 Block of Clay Street,94115,"(37.790132681711, -122.438304505733)",6/3/16,"$40,419.02 ",4
Pacific Heights,2700 Block of Clay Street,94115,"(37.790132681711, -122.438304505733)",6/3/16,"$40,408.96 ",2
Pacific Heights,2700 Block of Clay Street,94115,"(37.790132681711, -122.438304505733)",11/18/16,"$23,578.52 ",2
Pacific Heights,2700 Block of Clay Street,94115,"(37.790132681711, -122.438304505733)",6/3/16,"$40,396.19 ",2
Haight Ashbury,800 Block of Waller Street,94117,"(37.770224287914, -122.438170162492)",8/11/16,"$15,000.00 ",2
Oceanview/Merced/Ingleside,300 Block of Monticello Street,94132,"(37.720642355848, -122.470696369931)",11/20/15,"$29,000.00 ",1
Nob Hill,1100 Block of California Street,94108,"(37.791467552832, -122.413273080076)",9/29/16,"$17,500.00 ",2
Haight Ashbury,0 Block of Carmelita Street,94117,"(37.770239424459, -122.434252769224)",11/15/17,"$2,850.00 ",2
Castro/Upper Market,100 Block of Danvers Street,94114,"(37.75994781323, -122.443272600226)",2/9/16,"$60,000.00 ",2
Mission,100 Block of Guerrero Street,94103,"(37.768561559218, -122.424584086228)",12/30/15,"$34,500.00 ",1
Bayview Hunters Point,0 Block of Neptune Street,94124,"(37.730601911, -122.396948755676)",3/2/16,"$30,000.00 ",3
North Beach,2000 Block of Powell Street,94133,"(37.803489775935, -122.411553189747)",11/30/15,"$55,000.00 ",2
Marina,1600 Block of Green Street,94123,"(37.797250022442, -122.426247618803)",11/13/17,"$80,985.54 ",1
Marina,1600 Block of Green Street,94123,"(37.797250022442, -122.426247618803)",2/23/18,"$20,000.00 ",2
Nob Hill,900 Block of Hyde Street,94109,"(37.789569005636, -122.417179187658)",1/27/16,"$5,000.00 ",2
Twin Peaks,0 Block of Corwin Street,94114,"(37.757162909691, -122.439613003885)",1/28/16,"$23,283.42 ",2
Sunset/Parkside,1800 Block of 27th Avenue,94122,"(37.752927442326, -122.485048842487)",1/26/16,"$2,750.00 ",1
Castro/Upper Market,200 Block of Corbett Avenue,94114,"(37.761444422017, -122.443399994234)",12/2/15,"$41,979.86 ",1
Oceanview/Merced/Ingleside,300 Block of Tara Street,94112,"(37.718682315734, -122.450137244866)",1/19/16,"$12,500.00 ",2
Inner Richmond,100 Block of 7th Avenue,94118,"(37.785736790844, -122.465765419706)",7/20/16,"$150,000.00 ",2
Sunset/Parkside,1300 Block of 29th Avenue,94122,"(37.762156116731, -122.487842515076)",3/22/16,"$32,000.00 ",1
Visitacion Valley,1200 Block of Brussels Street,94134,"(37.716898541253, -122.401418865455)",2/16/16,"$16,560.00 ",5
Visitacion Valley,1200 Block of Brussels Street,94134,"(37.716898541253, -122.401418865455)",12/8/15,"$16,560.00 ",5
Inner Richmond,400 Block of 3rd Avenue,94118,"(37.780194496031, -122.461066150054)",4/15/16,"$46,875.50 ",1
Mission,900 Block of Dolores Street,94110,"(37.754237849401, -122.425238262135)",2/29/16,"$75,000.00 ",6
Marina,1600 Block of Vallejo Street,94123,"(37.796640416326, -122.424436547074)",3/29/17,"$66,313.27 ",3
Marina,1600 Block of Vallejo Street,94123,"(37.796640416326, -122.424436547074)",11/29/16,"$45,000.00 ",1
Potrero Hill,1800 Block of 19th Street,94107,"(37.760985083818, -122.400728071147)",1/6/17,"$69,649.00 ",2
Potrero Hill,1800 Block of 19th Street,94107,"(37.760985083818, -122.400728071147)",12/13/16,"$35,000.00 ",1
North Beach,400 Block of Vallejo Street,94133,"(37.799189519691, -122.404353886828)",2/17/16,"$23,000.00 ",2
Twin Peaks,0 Block of Gardenside Drive,94131,"(37.751778100849, -122.444988945928)",12/21/15,"$10,000.00 ",2
Hayes Valley,300 Block of Octavia Street,94102,"(37.775524715863, -122.424508535736)",3/30/16,"$37,000.00 ",2
Mission,800 Block of Alabama Street,94110,"(37.758280252542, -122.411571084248)",12/28/15,"$15,000.00 ",3
Outer Richmond,4600 Block of Balboa Street,94121,"(37.775256086183, -122.508562155835)",3/2/16,"$15,000.00 ",1
Marina,3700 Block of Fillmore Street,94123,"(37.805886308888, -122.437194851054)",3/9/16,"$5,600.00 ",1
Excelsior,0 Block of Newton Street,94112,"(37.713939813357, -122.438943296746)",3/15/16,"$7,301.00 ",1
Bernal Heights,700 Block of Banks Street,94110,"(37.734316546347, -122.41303713928)",5/25/16,"$60,000.00 ",1
Western Addition,1800 Block of California Street,94109,"(37.790001944775, -122.424784565648)",3/3/16,"$30,000.00 ",2
Sunset/Parkside,1700 Block of 48th Avenue,94122,"(37.753805879038, -122.507540670635)",1/5/16,"$2,070.00 ",2
South of Market,0 Block of Sumner Street,94103,"(37.776252507032, -122.41055419198)",1/7/16,"$22,500.00 ",1
Mission,2900 Block of Harrison Street,94110,"(37.750239238175, -122.41160055919)",1/7/16,"$100,000.00 ",2
Sunset/Parkside,1500 Block of Ortega Street,94122,"(37.752265830897, -122.480097058039)",1/22/16,"$9,000.00 ",3
Castro/Upper Market,100 Block of Caselli Avenue,94114,"(37.759694412571, -122.441904385732)",1/7/16,"$45,000.00 ",1
Potrero Hill,200 Block of Mississippi Street,94107,"(37.763334001402, -122.394583028407)",4/15/16,"$53,636.00 ",3
Mission,1300 Block of Hampshire Street,94110,"(37.75050064337, -122.407131211718)",4/29/16,"$26,000.00 ",2
Mission,700 Block of Guerrero Street,94110,"(37.758756182709, -122.423643239035)",5/10/16,"$75,000.00 ",1
Haight Ashbury,200 Block of Steiner Street,94117,"(37.771655221243, -122.432113601819)",1/13/16,"$23,000.00 ",1
Haight Ashbury,1200 Block of Masonic Avenue,94117,"(37.769728147293, -122.445320474935)",4/15/16,"$25,000.00 ",1
Visitacion Valley,800 Block of Rutland Street,94134,"(37.712002001621, -122.407607976137)",3/4/16,"$12,000.00 ",1
Russian Hill,900 Block of Bay Street,94109,"(37.804359824718, -122.422990234166)",7/29/16,"$10,000.00 ",2
Western Addition,1800 Block of California Street,94109,"(37.790001944775, -122.424784565648)",5/26/16,"$12,000.00 ",1
Marina,1600 Block of Beach Street,94123,"(37.804693684724, -122.436278802064)",1/27/16,"$23,000.00 ",2
Sunset/Parkside,1300 Block of 45th Avenue,94122,"(37.761405160294, -122.504853112286)",3/8/16,"$10,000.00 ",2
West of Twin Peaks,500 Block of Miramar Avenue,94112,"(37.726653572966, -122.458078876636)",1/22/16,"$38,200.00 ",2
West of Twin Peaks,500 Block of Teresita Boulevard,94127,"(37.73800208319, -122.446449647622)",3/24/16,"$15,000.00 ",2
Outer Mission,200 Block of Ellington Avenue,94112,"(37.713825426633, -122.444559125417)",1/27/16,"$5,553.00 ",1
Mission,0 Block of Elizabeth Street,94110,"(37.752871637882, -122.42223253935)",5/3/16,"$20,000.00 ",1
Nob Hill,1200 Block of California Street,94109,"(37.791365622991, -122.414939768109)",3/31/16,,4
Haight Ashbury,800 Block of Clayton Street,94117,"(37.765614199736, -122.447660896406)",3/22/16,"$20,000.00 ",2
Outer Mission,0 Block of Lyell Street,94112,"(37.731311827767, -122.431604222343)",6/17/16,"$20,000.00 ",2
Chinatown,900 Block of Jackson Street,94133,"(37.795487657278, -122.410479356033)",4/26/16,"$28,000.00 ",1
Castro/Upper Market,0 Block of Douglass Street,94114,"(37.762861342064, -122.439481563282)",5/19/16,"$75,000.00 ",2
Western Addition,1700 Block of Mcallister Street,94115,"(37.777534240825, -122.440863682785)",9/14/17,"$59,206.21 ",1
Outer Richmond,700 Block of 20th Avenue,94121,"(37.773750976342, -122.478835238597)",10/18/16,"$71,200.00 ",1
Outer Mission,200 Block of Rome Street,94112,"(37.715283220772, -122.446945630245)",6/1/16,"$17,500.00 ",2
Mission,2900 Block of Harrison Street,94110,"(37.750239238175, -122.41160055919)",4/4/16,"$50,000.00 ",5
Mission,1300 Block of Hampshire Street,94110,"(37.750508934024, -122.406993253862)",11/15/16,"$20,000.00 ",1
Bayview Hunters Point,1300 Block of Palou Avenue,94124,"(37.731279456362, -122.386266955922)",6/6/16,"$28,500.00 ",1
Lone Mountain/USF,1800 Block of Mcallister Street,94115,"(37.777214631702, -122.442488679774)",4/1/16,"$17,750.00 ",1
South of Market,700 Block of Clementina Street,94103,"(37.774852987344, -122.411439178562)",5/16/16,"$34,000.00 ",2
Mission,1300 Block of Vermont Street,94110,"(37.75253626085, -122.403415461032)",5/16/16,"$70,000.00 ",4
Inner Richmond,300 Block of Cornwall Street,94118,"(37.784826514703, -122.462945569944)",4/22/16,"$28,000.00 ",4
Pacific Heights,2300 Block of Bush Street,94115,"(37.786651563305, -122.435915167425)",4/27/16,"$26,000.00 ",2
Mission,1000 Block of Dolores Street,94110,"(37.752643924449, -122.425087778239)",4/26/16,"$19,500.00 ",2
Bernal Heights,100 Block of Cortland Avenue,94110,"(37.740053810886, -122.420597203777)",8/12/16,"$45,200.00 ",2
Presidio Heights,0 Block of Cook Street,94118,"(37.782744236041, -122.452392135096)",9/6/16,"$74,959.92 ",2
Pacific Heights,1800 Block of Webster Street,94115,"(37.787919253575, -122.432024926646)",2/24/16,"$150,000.00 ",2
Nob Hill,0 Block of Salmon Street,94133,"(37.796539745376, -122.412680954899)",4/26/16,"$30,000.00 ",1
Hayes Valley,0 Block of Church Street,94114,"(37.769898724804, -122.429248840505)",12/1/16,"$52,333.16 ",2
Sunset/Parkside,1800 Block of 25th Avenue,94122,"(37.753022034756, -122.482903541281)",4/19/16,"$15,000.00 ",1
Mission,100 Block of Bartlett Street,94110,"(37.754571870634, -122.419712713805)",5/12/16,"$60,000.00 ",1
Mission,100 Block of Bartlett Street,94110,"(37.754571870634, -122.419712713805)",3/20/17,"$86,250.00 ",1
North Beach,2000 Block of Powell Street,94133,"(37.803489775935, -122.411553189747)",7/1/16,"$41,000.00 ",1
Castro/Upper Market,2000 Block of 15th Street,94114,"(37.766151307986, -122.429377891544)",7/12/16,"$50,838.00 ",1
North Beach,500 Block of Chestnut Street,94133,"(37.803831051039, -122.412205194331)",7/11/16,"$52,400.00 ",1
Sunset/Parkside,2100 Block of Lawton Street,94122,"(37.75751080039, -122.485840449063)",8/29/16,"$160,000.00 ",1
Inner Sunset,1300 Block of 16th Avenue,94122,"(37.762769050829, -122.473917054963)",5/5/16,"$12,780.00 ",2
Marina,1800 Block of Lombard Street,94123,"(37.800248346549, -122.431914332619)",8/24/16,"$50,000.00 ",1
Haight Ashbury,100 Block of Belvedere Street,94117,"(37.767791696945, -122.4493322947)",1/5/18,"$45,000.00 ",1
Potrero Hill,800 Block of Rhode Island Street,94107,"(37.759043330687, -122.401949185845)",4/25/16,"$8,000.00 ",1
Outer Richmond,500 Block of 17th Avenue,94121,"(37.777626610618, -122.475887689431)",3/11/16,"$40,000.00 ",3
Pacific Heights,2100 Block of Laguna Street,94115,"(37.790890375616, -122.429249383955)",5/27/16,"$4,000.00 ",2
Potrero Hill,800 Block of Wisconsin Street,94107,"(37.756574965552, -122.398800339454)",6/3/16,$500.00 ,1
Hayes Valley,400 Block of Oak Street,94102,"(37.774439390692, -122.426706538499)",6/21/16,"$17,250.00 ",1
Oceanview/Merced/Ingleside,900 Block of Garfield Street,94132,"(37.719698140666, -122.471202639414)",3/8/16,$550.00 ,1
Outer Richmond,2500 Block of Lake Street,94121,"(37.785618148342, -122.486751122831)",1/26/17,"$25,000.00 ",1
Outer Richmond,600 Block of 26th Avenue,94121,"(37.777188005027, -122.485530777259)",5/11/16,"$34,000.00 ",3
Sunset/Parkside,1200 Block of 21st Avenue,94122,"(37.764412253173, -122.479263390059)",3/11/16,"$10,000.00 ",2
Russian Hill,1100 Block of Francisco Street,94109,"(37.803254828758, -122.424086026841)",3/14/16,"$8,000.00 ",1
Noe Valley,200 Block of Day Street,94131,"(37.742885588718, -122.427705104183)",12/6/16,"$107,920.00 ",6
Noe Valley,200 Block of Day Street,94131,"(37.742885588718, -122.427705104183)",12/6/16,"$142,517.00 ",6
Sunset/Parkside,2400 Block of 26th Avenue,94116,"(37.741789368036, -122.483058319307)",5/9/16,"$10,600.00 ",3
Hayes Valley,600 Block of Broderick Street,94117,"(37.776187484482, -122.439682038399)",5/24/16,"$20,000.00 ",2
Mission,0 Block of Pearl Street,94103,"(37.770224901965, -122.423794594898)",5/17/16,"$15,000.00 ",2
Sunset/Parkside,1700 Block of 44th Avenue,94122,"(37.75398948545, -122.50339646988)",10/3/16,"$61,300.00 ",3
Marina,2200 Block of North Point Street,94123,"(37.802722213371, -122.444258698097)",5/31/16,"$20,000.00 ",1
Marina,2200 Block of North Point Street,94123,"(37.802722213371, -122.444258698097)",5/31/16,"$20,000.00 ",1
North Beach,400 Block of Filbert Street,94133,"(37.801650127809, -122.406745753983)",10/7/16,"$70,000.00 ",1
Sunset/Parkside,1700 Block of 35th Avenue,94122,"(37.75441476511, -122.493753724017)",6/6/16,"$5,890.00 ",1
Nob Hill,1100 Block of Pacific Avenue,94133,"(37.796080479312, -122.41383266925)",3/24/16,"$175,000.00 ",2
Sunset/Parkside,1700 Block of 20th Avenue,94122,"(37.755129715909, -122.477545283967)",1/12/17,"$30,000.00 ",2
Presidio Heights,0 Block of Jordan Avenue,94118,"(37.784949559824, -122.456819204649)",6/7/16,"$31,466.00 ",2
Western Addition,800 Block of Broderick Street,94115,"(37.778040437168, -122.440188459734)",9/12/16,"$18,109.00 ",2
Sunset/Parkside,1400 Block of 27th Avenue,94122,"(37.760385318678, -122.485571946609)",5/4/16,"$10,000.00 ",1
Haight Ashbury,1200 Block of Waller Street,94117,"(37.769336404025, -122.444272580996)",5/23/16,"$35,384.61 ",2
Excelsior,100 Block of Pope Street,94112,"(37.713307088981, -122.440814436255)",5/19/16,"$11,780.00 ",2
Mission,500 Block of Dolores Street,94110,"(37.760637683614, -122.425843697547)",11/23/16,"$38,198.24 ",1
Pacific Heights,3000 Block of Jackson Street,94115,"(37.79115780871, -122.445308523162)",10/5/16,"$27,811.84 ",2
Pacific Heights,3000 Block of Jackson Street,94115,"(37.79115780871, -122.445308523162)",8/8/16,"$55,000.00 ",4
Pacific Heights,3000 Block of Jackson Street,94115,"(37.79115780871, -122.445308523162)",7/18/16,"$100,000.00 ",1
Inner Richmond,200 Block of 11th Avenue,94118,"(37.783634134984, -122.469908010819)",8/2/16,"$21,613.60 ",2
Bayview Hunters Point,1300 Block of Bayshore Boulevard,94124,"(37.727389107723, -122.401922599962)",5/18/16,"$24,055.00 ",4
Mission,600 Block of Capp Street,94110,"(37.756297556005, -122.417804429589)",6/6/16,"$50,000.00 ",1
Western Addition,1500 Block of Mcallister Street,94115,"(37.777954530488, -122.43754201259)",7/6/16,"$20,000.00 ",1
Sunset/Parkside,2200 Block of 25th Avenue,94116,"(37.74556193059, -122.482386581144)",11/16/16,"$43,300.00 ",2
Hayes Valley,100 Block of Page Street,94102,"(37.77404134432, -122.423188032512)",5/6/16,"$8,400.00 ",1
Mission,300 Block of San Carlos Street,94110,"(37.757782308163, -122.419834201322)",7/5/16,"$120,000.00 ",1
Sunset/Parkside,1600 Block of 30th Avenue,94122,"(37.756521016788, -122.488382449676)",5/4/16,"$34,500.00 ",2
Bayview Hunters Point,4600 Block of 3rd Street,94124,"(37.736018052866, -122.390409391835)",8/17/16,"$48,000.00 ",1
Haight Ashbury,900 Block of Haight Street,94117,"(37.771107722988, -122.437866453423)",6/7/16,"$25,000.00 ",4
Marina,2700 Block of Gough Street,94123,"(37.798591938237, -122.427431483926)",8/22/16,"$55,000.00 ",1
Marina,24502400 Block of Filbert Street,94123,"(37.797552306586, -122.439799971114)",11/7/16,"$100,000.00 ",3
Outer Mission,0 Block of Farragut Avenue,94112,"(37.710378052436, -122.449751419035)",4/14/16,"$26,597.00 ",5
Mission,3200 Block of 21st Street,94110,"(37.756980229181, -122.420733171488)",4/14/16,"$16,600.00 ",1
Marina,1600 Block of Beach Street,94123,"(37.804693684724, -122.436278802064)",9/1/16,"$12,500.00 ",2
Noe Valley,3900 Block of 26th Street,94131,"(37.748483821874, -122.428239848114)",2/16/17,"$96,785.00 ",1
Bernal Heights,0 Block of Bradford Street,94110,"(37.741625440888, -122.409403908613)",7/22/16,"$10,000.00 ",1
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",7/5/16,"$1,500.00 ",2
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",7/5/16,"$2,500.00 ",2
Lone Mountain/USF,700 Block of Arguello Boulevard,94118,"(37.775432271148, -122.458380002824)",8/9/16,"$35,000.00 ",4
South of Market,0 Block of Kissling Street,94103,"(37.772846020225, -122.414655134717)",4/22/16,"$27,500.00 ",1
Hayes Valley,100 Block of Haight Street,94102,"(37.772900089786, -122.424646169167)",4/22/16,"$30,000.00 ",1
Hayes Valley,0 Block of Buchanan Street,94102,"(37.770077899098, -122.426592754518)",7/14/16,"$15,000.00 ",1
Mission,0 Block of Cumberland Street,94110,"(37.759042049984, -122.424722931348)",4/25/16,"$50,000.00 ",2
Sunset/Parkside,2100 Block of 26th Avenue,94116,"(37.747384697297, -122.483447784191)",5/5/16,"$21,597.00 ",2
Outer Mission,0 Block of Cayuga Avenue,94112,"(37.731295470364, -122.430149661272)",6/23/16,"$19,000.00 ",3
Mission,0 Block of Pearl Street,94103,"(37.77021658796, -122.423932587136)",4/28/16,"$30,000.00 ",3
Inner Sunset,1300 Block of 12th Avenue,94122,"(37.762968069923, -122.46938781189)",9/19/16,"$30,000.00 ",2
Mission,2900 Block of 23rd Street,94110,"(37.754313319268, -122.411588985129)",7/15/16,"$11,780.00 ",2
Inner Richmond,2900 Block of Fulton Street,94118,"(37.773746141615, -122.463227465331)",5/2/16,"$30,000.00 ",5
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",8/2/16,"$10,000.00 ",1
Sunset/Parkside,2600 Block of Yorba Street,94116,"(37.734675256091, -122.494982314133)",8/18/16,"$39,255.00 ",4
Sunset/Parkside,2600 Block of Yorba Street,94116,"(37.734675256091, -122.494982314133)",8/8/17,"$20,018.74 ",1
Lone Mountain/USF,0 Block of Ashbury Street,94117,"(37.775124549396, -122.448041172346)",12/6/16,"$65,000.00 ",1
Outer Richmond,700 Block of 19th Avenue,94121,"(37.773799928513, -122.477764458229)",9/30/16,"$21,400.00 ",2
Lone Mountain/USF,1500 Block of Fulton Street,94117,"(37.776276302674, -122.442299447306)",2/15/17,"$50,000.00 ",1
Noe Valley,0 Block of Chattanooga Street,94114,"(37.755765606608, -122.42664161534)",2/2/18,"$140,000.00 ",2
Noe Valley,0 Block of Chattanooga Street,94114,"(37.755765606608, -122.42664161534)",9/19/17,"$17,500.00 ",1
Noe Valley,0 Block of Chattanooga Street,94114,"(37.755765606608, -122.42664161534)",1/9/17,"$100,000.00 ",4
Outer Richmond,500 Block of 38th Avenue,94121,"(37.778489947914, -122.498662035394)",11/1/16,"$97,050.00 ",5
Bernal Heights,200 Block of Genebern Way,94112,"(37.732454734755, -122.42524827109)",7/25/16,"$18,000.00 ",7
Marina,1800 Block of Union Street,94123,"(37.797766577933, -122.429725516031)",11/21/16,"$53,500.00 ",1
Marina,1800 Block of Union Street,94123,"(37.797766577933, -122.429725516031)",6/29/16,"$25,000.00 ",1
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",7/5/16,"$1,000.00 ",1
Sunset/Parkside,1200 Block of 31st Avenue,94122,"(37.763934852423, -122.490119149109)",7/21/16,"$34,000.00 ",2
Hayes Valley,0 Block of Steiner Street,94117,"(37.769679684478, -122.431575371699)",5/17/16,"$71,500.00 ",4
Hayes Valley,0 Block of Steiner Street,94117,"(37.769679684478, -122.431575371699)",5/17/16,"$45,000.00 ",4
Hayes Valley,0 Block of Steiner Street,94117,"(37.769679684478, -122.431575371699)",5/17/16,"$45,000.00 ",3
Bayview Hunters Point,1700 Block of Newcomb Avenue,94124,"(37.736774686268, -122.392625758171)",1/17/17,"$35,950.00 ",2
Pacific Heights,2600 Block of Pine Street,94115,"(37.787164449531, -122.439404799208)",8/15/16,"$29,400.00 ",1
Lone Mountain/USF,2100 Block of Golden Gate Avenue,94118,"(37.777832030666, -122.446012178222)",7/25/16,"$46,792.00 ",4
Lone Mountain/USF,2100 Block of Golden Gate Avenue,94118,"(37.777832030666, -122.446012178222)",7/12/16,"$82,588.00 ",3
Noe Valley,4400 Block of 23rd Street,94114,"(37.752493852275, -122.441654969037)",7/28/16,"$15,000.00 ",2
Pacific Heights,2500 Block of Sutter Street,94115,"(37.784985529869, -122.442370811443)",7/27/16,"$3,000.00 ",1
Potrero Hill,200 Block of Missouri Street,94107,"(37.763211108389, -122.3966546731)",11/22/16,"$42,500.00 ",2
Potrero Hill,900 Block of Minnesota Street,94107,"(37.759121018973, -122.390401159698)",12/12/16,"$56,993.00 ",1
Western Addition,1700 Block of Golden Gate Avenue,94115,"(37.778672014352, -122.43939382488)",9/6/16,"$70,000.00 ",3
Mission,2700 Block of Folsom Street,94110,"(37.753298447583, -122.41422876374)",5/27/16,"$50,000.00 ",1
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",8/2/16,"$1,200.00 ",1
Western Addition,500 Block of Mcallister Street,94102,"(37.780047135691, -122.421081410565)",5/31/16,"$25,000.00 ",1
Lone Mountain/USF,1600 Block of Grove Street,94117,"(37.775136574397, -122.44375821042)",10/21/16,"$90,000.00 ",3
Russian Hill,1200 Block of Green Street,94109,"(37.798149290601, -122.420211765474)",7/18/16,"$13,500.00 ",1
Hayes Valley,100 Block of Fillmore Street,94117,"(37.770932776367, -122.430282421678)",6/2/16,"$81,000.00 ",3
Bayview Hunters Point,1600 Block of Palou Avenue,94124,"(37.734570708874, -122.391831742787)",8/30/16,"$38,000.00 ",1
Russian Hill,1900 Block of Leavenworth Street,94133,"(37.798698352569, -122.417333487329)",7/28/16,"$22,000.00 ",2
Outer Richmond,5000 Block of Fulton Street,94121,"(37.772550835366, -122.485802007826)",7/26/16,"$15,000.00 ",2
Mission,200 Block of Bartlett Street,94110,"(37.752974586915, -122.419562415324)",8/17/16,"$13,500.00 ",3
Haight Ashbury,1200 Block of Page Street,94117,"(37.771620830398, -122.441356135336)",8/8/16,"$120,000.00 ",3
Noe Valley,500 Block of Jersey Street,94114,"(37.750348222976, -122.437315008974)",6/9/16,"$74,000.00 ",1
Haight Ashbury,100 Block of Baker Street,94117,"(37.772254695359, -122.440572356401)",7/20/17,"$17,750.00 ",2
Excelsior,400 Block of Moscow Street,94112,"(37.720512728155, -122.428284036383)",1/25/17,"$22,597.00 ",6
Mission,2300 Block of Folsom Street,94110,"(37.759701551186, -122.414696971221)",8/10/16,"$25,000.00 ",1
Excelsior,5800 Block of Mission Street,94112,"(37.709427548045, -122.450664127243)",8/17/16,"$19,585.77 ",2
Mission,3300 Block of 22nd Street,94110,"(37.755164223775, -122.422303225165)",8/30/16,"$30,025.81 ",2
Western Addition,2100 Block of Ellis Street,94115,"(37.781218604039, -122.441050130126)",8/8/16,"$18,000.00 ",1
Presidio Heights,3500 Block of California Street,94118,"(37.786570631707, -122.452592707342)",7/21/16,"$20,700.00 ",1
Portola,200 Block of Burrows Street,94134,"(37.728496951247, -122.405607831995)",6/17/16,"$100,000.00 ",2
Portola,600 Block of Mansell Street,94134,"(37.720027531908, -122.407551043314)",11/3/16,"$52,140.00 ",2
Mission,500 Block of Dolores Street,94110,"(37.760637683614, -122.425843697547)",10/24/16,"$44,137.54 ",1
Sunset/Parkside,2400 Block of 47th Avenue,94116,"(37.740790803465, -122.505556314021)",9/13/16,"$36,530.24 ",3
Marina,3300 Block of Scott Street,94123,"(37.80066672122, -122.441204489429)",1/30/17,"$100,000.00 ",2
Marina,3300 Block of Scott Street,94123,"(37.80066672122, -122.441204489429)",9/2/16,"$8,000.00 ",2
Oceanview/Merced/Ingleside,100 Block of Farallones Street,94112,"(37.714011116114, -122.457547776797)",8/16/16,"$15,000.00 ",2
Tenderloin,400 Block of Ofarrell Street,94102,"(37.785890330987, -122.411725719958)",8/30/16,"$7,000.00 ",1
Inner Richmond,0 Block of 7th Avenue,94118,"(37.78744603232, -122.46575026324)",6/30/16,"$12,500.00 ",1
Excelsior,0 Block of Stoneybrook Avenue,94112,"(37.730076017443, -122.421764183894)",9/26/16,"$10,000.00 ",1
Noe Valley,4200 Block of 26th Street,94131,"(37.747974989751, -122.434874223368)",7/5/16,"$6,000.00 ",1
South of Market,200 Block of 9th Street,94103,"(37.774817064227, -122.412845031059)",7/5/16,"$1,500.00 ",1
Marina,3300 Block of Laguna Street,94123,"(37.801919228611, -122.431336142826)",8/31/16,"$5,000.00 ",1
Mission,1800 Block of 15th Street,94103,"(37.766322531418, -122.424723870636)",3/27/17,"$99,999.28 ",1
Mission,1800 Block of 15th Street,94103,"(37.766322531418, -122.424723870636)",4/18/17,"$60,001.00 ",1
Mission,1800 Block of 15th Street,94103,"(37.766322531418, -122.424723870636)",3/6/17,"$100,006.81 ",1
Sunset/Parkside,1800 Block of 24th Avenue,94122,"(37.753069088921, -122.481836048008)",11/21/16,"$35,000.00 ",2
Sunset/Parkside,2400 Block of 30th Avenue,94116,"(37.74159469109, -122.487480475643)",9/19/16,"$63,120.00 ",1
Mission,800 Block of York Street,94110,"(37.758467996571, -122.40879783772)",10/6/16,"$36,643.20 ",2
Marina,2000 Block of Green Street,94123,"(37.796524939147, -122.432847820606)",10/24/16,"$30,000.00 ",3
Mission,3500 Block of 17th Street,94110,"(37.76315412231, -122.425099107017)",11/2/16,"$117,000.00 ",1
North Beach,0 Block of Kramer Place,94133,"(37.802080424987, -122.408254699837)",7/11/16,"$5,000.00 ",2
Pacific Heights,2100 Block of California Street,94115,"(37.789374886518, -122.429717207144)",10/6/16,"$7,000.00 ",1
Lone Mountain/USF,900 Block of Central Avenue,94115,"(37.778370223036, -122.445182906962)",7/12/16,"$66,700.00 ",4
Outer Richmond,700 Block of 16th Avenue,94118,"(37.773947007225, -122.474549426205)",9/12/16,"$14,580.00 ",2
Haight Ashbury,700 Block of Clayton Street,94117,"(37.767926932022, -122.448269733897)",10/17/16,"$40,000.00 ",3
Haight Ashbury,700 Block of Clayton Street,94117,"(37.767926932022, -122.448269733897)",10/17/16,"$40,000.00 ",3
Noe Valley,400 Block of Elizabeth Street,94114,"(37.752239105861, -122.430833708522)",9/2/16,"$50,000.00 ",1
Lone Mountain/USF,1500 Block of Fulton Street,94117,"(37.776276302674, -122.442299447306)",12/2/16,"$90,000.00 ",2
South of Market,0 Block of Washburn Street,94103,"(37.77523622303, -122.414406294387)",7/18/16,"$140,000.00 ",2
Russian Hill,2600 Block of Hyde Street,94109,"(37.80546967914, -122.420387742417)",1/18/17,"$95,000.00 ",3
Russian Hill,1200 Block of Vallejo Street,94109,"(37.797383384211, -122.417839988529)",12/23/16,"$25,000.00 ",1
Sunset/Parkside,1200 Block of 30th Avenue,94122,"(37.763988755256, -122.488906825253)",2/22/17,"$60,000.00 ",4
Western Addition,1000 Block of Pierce Street,94115,"(37.779381465353, -122.435357598678)",7/21/16,"$31,250.00 ",1
