tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184
Census Tract 351,6075035100,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,4436.0,120724.0,38144.0,851.0,43684.0,4114.0,35.0,2067.0,666.0,925.0,315.0,36.0,337.0,374.0,149.0,271.0,188.0,186.0,520.0,655.0,657.0,390.0,300.0,193.0,3186.0,604.0,450.0,90114.0,107494.0,113177.0,75.0,64.9,4.1,2.5,4114.0,48.6,15.6,21.7,7.4,6.6,0.8,7.9,8.8,3.5,6.4,4.4,4.4,12.2,15.4,15.4,9.2,7.0,4.5,74.9,14.2,10.6,3.5,2.6,5.9,3.6,12.8,16.1,12.6,22.7,5.7,14.5,7842.0,41.1,3818.0,39.7,4024.0,42.6,1797.0,2895.0,2718.0,177.0,2718.0,1593.0,1125.0,48.7,51.3,66.1,93.9,6.1,100.0,58.6,41.4
Census Tract 352.02,6075035202,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,2897.0,88147.0,32821.0,822.0,33125.0,2668.0,35.1,1265.0,513.0,601.0,92.0,0.0,153.0,129.0,59.0,309.0,137.0,76.0,271.0,301.0,711.0,408.0,120.0,42.0,2239.0,320.0,157.0,66958.0,81233.0,80765.0,0.0,73.5,5.8,2.5,2668.0,46.6,18.9,22.1,3.4,9.0,0.0,5.6,4.7,2.2,11.4,5.0,2.8,10.0,11.1,26.2,15.0,4.4,1.5,82.4,11.8,5.8,2.5,3.5,5.8,12.8,9.1,21.8,17.9,18.2,2.0,6.4,4322.0,37.5,2175.0,38.2,2147.0,36.7,871.0,1891.0,1764.0,127.0,1764.0,556.0,1208.0,50.3,49.7,49.4,93.3,6.7,100.0,31.5,68.5
Census Tract 331,6075033100,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Parkside,1893.0,132750.0,41377.0,437.0,51692.0,1736.0,30.1,1132.0,164.0,432.0,46.0,0.0,89.0,90.0,33.0,191.0,88.0,24.0,255.0,300.0,408.0,175.0,66.0,112.0,1358.0,291.0,182.0,103589.0,111918.0,115428.0,0.0,60.4,3.3,1.2,1736.0,61.8,9.0,23.6,2.5,3.1,0.0,4.9,4.9,1.8,10.4,4.8,1.3,13.9,16.4,22.3,9.6,3.6,6.1,74.2,15.9,9.9,2.5,7.3,4.7,4.9,4.1,11.2,12.8,28.5,9.7,14.2,3968.0,45.0,1918.0,42.9,2050.0,46.7,1058.0,1508.0,1442.0,66.0,1442.0,1240.0,202.0,48.3,51.7,73.4,95.6,4.4,100.0,86.0,14.0
Census Tract 330,6075033000,http://www.sfgate.com/neighborhoods/sf/outersunset/,4526.0,133214.0,39342.0,790.0,49293.0,4015.0,29.3,2042.0,590.0,1066.0,182.0,0.0,166.0,251.0,174.0,368.0,254.0,179.0,496.0,458.0,815.0,454.0,204.0,267.0,2875.0,910.0,301.0,110486.0,112133.0,118012.0,22.0,67.1,9.7,0.0,4015.0,50.0,14.4,26.1,4.5,5.0,0.0,4.1,6.1,4.3,9.0,6.2,4.4,12.1,11.2,19.9,11.1,5.0,6.5,70.4,22.3,7.4,2.0,3.0,3.9,5.7,8.8,12.9,10.2,26.3,17.1,10.1,7764.0,42.7,3737.0,41.6,4027.0,43.8,1844.0,2821.0,2698.0,123.0,2698.0,1839.0,859.0,48.1,51.9,68.3,95.6,4.4,100.0,68.2,31.8
Census Tract 327,6075032700,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,3959.0,122527.0,39529.0,716.0,43644.0,3760.0,29.3,1770.0,506.0,957.0,198.0,18.0,223.0,165.0,41.0,385.0,252.0,93.0,334.0,489.0,1061.0,383.0,225.0,93.0,2542.0,821.0,399.0,85446.0,105872.0,104719.0,25.0,68.0,4.7,4.9,3760.0,47.0,13.5,25.4,5.3,8.8,0.5,5.9,4.4,1.1,10.2,6.7,2.5,8.9,13.0,28.2,10.2,6.0,2.5,67.6,21.8,10.6,5.0,3.7,7.4,4.3,7.8,15.2,13.6,25.0,7.5,10.4,6572.0,42.0,3161.0,40.7,3411.0,43.6,1524.0,2559.0,2391.0,168.0,2391.0,1457.0,934.0,48.1,51.9,63.7,93.4,6.6,100.0,60.9,39.1
Census Tract 314,6075031400,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Merced_Heights,3594.0,74554.0,23824.0,768.0,26898.0,3011.0,32.6,923.0,903.0,776.0,297.0,0.0,282.0,139.0,133.0,261.0,124.0,13.0,366.0,257.0,629.0,458.0,329.0,203.0,2348.0,516.0,330.0,55079.0,71311.0,74536.0,64.0,71.9,11.1,10.2,3011.0,28.9,28.3,24.3,9.3,9.2,0.0,8.8,4.4,4.2,8.2,3.9,0.4,11.5,8.0,19.7,14.3,10.3,6.4,73.5,16.2,10.3,3.7,8.1,7.2,8.0,17.4,17.0,13.5,14.6,4.5,5.9,6676.0,38.3,3406.0,36.3,3270.0,40.2,1267.0,1911.0,1791.0,120.0,1791.0,1159.0,632.0,51.0,49.0,70.7,93.7,6.3,100.0,64.7,35.3
Census Tract 311,6075031100,"http://en.wikipedia.org/wiki/Glen_Park,_San_Francisco",4529.0,134189.0,45305.0,1049.0,43978.0,4201.0,28.8,2616.0,522.0,550.0,345.0,184.0,222.0,93.0,81.0,314.0,251.0,175.0,339.0,903.0,945.0,328.0,237.0,293.0,3087.0,920.0,358.0,101641.0,119621.0,114148.0,0.0,74.1,3.6,0.6,4201.0,59.9,12.0,12.6,7.9,7.6,4.2,5.1,2.1,1.9,7.2,5.8,4.0,7.8,20.7,21.6,7.5,5.4,6.7,70.7,21.1,8.2,2.5,1.2,3.5,4.1,9.7,15.7,10.8,26.5,14.8,11.2,6193.0,42.0,3166.0,41.3,3027.0,43.0,1388.0,2590.0,2462.0,128.0,2462.0,1569.0,893.0,51.1,48.9,56.4,95.1,4.9,100.0,63.7,36.3
Census Tract 310,6075031000,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Sherwood_Forest,1619.0,127799.0,43766.0,451.0,47672.0,1531.0,31.8,878.0,211.0,302.0,97.0,10.0,170.0,29.0,73.0,125.0,52.0,110.0,142.0,168.0,452.0,102.0,57.0,69.0,1124.0,259.0,176.0,91907.0,109984.0,113180.0,43.0,59.7,3.7,5.2,1531.0,56.3,13.5,19.4,6.2,4.6,0.6,10.9,1.9,4.7,8.0,3.3,7.1,9.1,10.8,29.0,6.5,3.7,4.4,72.1,16.6,11.3,4.2,1.6,11.3,1.9,8.8,13.8,11.0,18.8,16.9,11.9,3494.0,45.6,1755.0,44.4,1739.0,46.7,886.0,1322.0,1271.0,51.0,1271.0,1060.0,211.0,50.2,49.8,69.7,96.1,3.9,100.0,83.4,16.6
Census Tract 309,6075030900,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Sherwood_Forest,3481.0,205482.0,64465.0,682.0,70591.0,3212.0,25.7,2302.0,137.0,676.0,132.0,0.0,134.0,220.0,113.0,154.0,96.0,110.0,365.0,766.0,811.0,173.0,118.0,263.0,2200.0,710.0,413.0,144900.0,180515.0,184113.0,0.0,61.7,4.5,1.1,3212.0,69.3,4.1,20.3,4.0,2.3,0.0,4.0,6.6,3.4,4.6,2.9,3.3,11.0,23.1,24.4,5.2,3.6,7.9,66.2,21.4,12.4,1.3,1.4,2.1,3.4,5.6,13.0,9.6,15.0,18.5,30.1,6581.0,46.9,3150.0,46.3,3431.0,47.6,1766.0,2435.0,2345.0,90.0,2345.0,2094.0,251.0,47.9,52.1,75.3,96.3,3.7,100.0,89.3,10.7
Census Tract 308,6075030800,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,3029.0,186139.0,61924.0,576.0,46078.0,2742.0,28.0,1529.0,395.0,698.0,43.0,0.0,54.0,121.0,68.0,294.0,87.0,64.0,480.0,453.0,557.0,416.0,129.0,114.0,2131.0,340.0,319.0,122139.0,162196.0,142927.0,0.0,66.3,6.3,2.8,2742.0,53.9,13.9,24.6,1.5,6.1,0.0,1.9,4.3,2.4,10.4,3.1,2.3,16.9,16.0,19.6,14.7,4.5,4.0,75.1,12.0,11.2,2.2,1.6,4.0,6.9,6.8,9.6,8.1,21.8,13.2,25.9,5667.0,46.4,2723.0,44.8,2944.0,47.9,1451.0,2315.0,2145.0,170.0,2145.0,1666.0,479.0,48.1,51.9,67.6,92.7,7.3,100.0,77.7,22.3
Census Tract 307,6075030700,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Sherwood_Forest,3851.0,152373.0,67402.0,1157.0,65102.0,3569.0,27.4,2571.0,384.0,560.0,101.0,0.0,74.0,255.0,37.0,179.0,111.0,166.0,298.0,968.0,1100.0,253.0,205.0,91.0,2593.0,714.0,418.0,128203.0,151582.0,151584.0,22.0,74.0,3.0,4.8,3569.0,68.8,10.3,15.0,2.7,3.2,0.0,2.0,6.8,1.0,4.8,3.0,4.4,8.0,25.9,29.4,6.8,5.5,2.4,69.4,19.1,11.2,1.2,4.5,3.9,2.5,8.0,10.1,10.0,16.3,15.5,28.0,6343.0,45.7,3268.0,45.2,3075.0,46.4,1615.0,2747.0,2651.0,96.0,2651.0,2243.0,408.0,51.5,48.5,60.9,96.5,3.5,100.0,84.6,15.4
Census Tract 306,6075030600,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,1179.0,151917.0,55403.0,206.0,71071.0,1085.0,30.2,737.0,84.0,125.0,9.0,0.0,82.0,105.0,58.0,66.0,133.0,16.0,92.0,122.0,274.0,85.0,24.0,47.0,788.0,192.0,124.0,138056.0,142784.0,152021.0,0.0,68.2,6.4,0.0,1085.0,66.8,7.6,11.3,0.8,13.5,0.0,7.4,9.5,5.3,6.0,12.0,1.4,8.3,11.1,24.8,7.7,2.2,4.3,71.4,17.4,11.2,1.1,1.1,8.2,6.5,4.3,9.2,8.2,14.1,23.0,24.2,2221.0,45.2,1125.0,44.4,1096.0,46.0,577.0,901.0,865.0,36.0,865.0,724.0,141.0,50.7,49.3,66.7,96.0,4.0,100.0,83.7,16.3
Census Tract 305,6075030500,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,1091.0,163184.0,43945.0,396.0,73261.0,1061.0,26.4,806.0,69.0,134.0,53.0,18.0,24.0,43.0,12.0,37.0,36.0,85.0,85.0,223.0,375.0,21.0,36.0,74.0,694.0,234.0,141.0,106007.0,134571.0,152284.0,0.0,37.2,2.0,1.8,1061.0,75.4,6.5,12.5,5.0,0.7,1.7,2.2,4.0,1.1,3.5,3.4,8.0,8.0,20.9,35.1,2.0,3.4,6.9,64.9,21.9,13.2,2.4,11.0,3.3,1.2,7.1,7.9,13.7,20.5,12.9,20.1,3046.0,52.1,1618.0,50.3,1428.0,55.4,523.0,1056.0,1006.0,50.0,1006.0,730.0,276.0,53.1,46.9,52.0,95.3,4.7,100.0,72.6,27.4
Census Tract 304,6075030400,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,2557.0,150665.0,53617.0,372.0,56250.0,2310.0,34.9,1460.0,359.0,434.0,90.0,0.0,77.0,128.0,78.0,137.0,70.0,100.0,310.0,526.0,520.0,309.0,62.0,72.0,1972.0,189.0,216.0,126818.0,144107.0,129705.0,7.0,61.0,6.6,5.0,2310.0,61.1,15.0,18.2,3.8,1.9,0.0,3.2,5.4,3.3,5.7,2.9,4.2,13.0,22.0,21.8,12.9,2.6,3.0,82.5,7.9,9.0,1.1,1.7,3.4,7.3,7.8,12.2,10.4,17.3,12.5,26.4,5106.0,45.1,2507.0,43.9,2599.0,46.3,1342.0,2004.0,1933.0,71.0,1933.0,1443.0,490.0,49.1,50.9,69.4,96.5,3.5,100.0,74.7,25.3
Census Tract 303.02,6075030302,http://www.sfgate.com/neighborhoods/sf/outersunset/,2099.0,131497.0,42055.0,363.0,53290.0,1875.0,30.6,1115.0,263.0,367.0,102.0,0.0,59.0,100.0,184.0,148.0,81.0,113.0,120.0,355.0,395.0,205.0,60.0,82.0,1353.0,316.0,233.0,110673.0,119462.0,122909.0,0.0,66.1,9.4,1.6,1875.0,58.6,13.8,19.3,5.4,2.9,0.0,3.1,5.3,9.7,7.8,4.3,5.9,6.3,18.7,20.8,10.8,3.2,4.3,71.1,16.6,12.3,2.0,1.9,3.8,4.9,9.9,10.9,13.9,21.3,16.1,15.3,3549.0,43.8,1735.0,42.6,1814.0,44.9,891.0,1452.0,1374.0,78.0,1374.0,1012.0,362.0,48.9,51.1,64.8,94.6,5.4,100.0,73.7,26.3
Census Tract 332.01,6075033201,,1745.0,73527.0,12912.0,469.0,6056.0,1396.0,27.0,231.0,309.0,760.0,16.0,0.0,58.0,0.0,0.0,367.0,46.0,68.0,68.0,173.0,222.0,260.0,99.0,38.0,1150.0,205.0,44.0,41250.0,48878.0,48412.0,32.0,53.0,19.8,4.8,1396.0,16.5,22.1,54.3,1.1,5.9,0.0,4.1,0.0,0.0,26.2,3.3,4.9,4.9,12.4,15.9,18.6,7.1,2.7,82.2,14.7,3.1,19.5,6.7,13.8,4.9,12.3,15.4,22.4,3.3,0.4,1.4,3683.0,19.9,1440.0,20.4,2243.0,19.8,240.0,794.0,647.0,147.0,647.0,4.0,643.0,39.1,60.9,37.1,81.5,18.5,100.0,0.6,99.4
Census Tract 303.01,6075030301,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Forest_Knolls,3472.0,139484.0,55035.0,1049.0,56210.0,3353.0,31.3,2424.0,283.0,456.0,61.0,0.0,45.0,143.0,47.0,211.0,56.0,296.0,329.0,885.0,885.0,228.0,114.0,110.0,2694.0,456.0,199.0,92207.0,126337.0,143623.0,0.0,68.8,2.6,4.0,3353.0,72.4,8.5,13.6,1.8,3.7,0.0,1.3,4.3,1.4,6.3,1.7,8.8,9.8,26.4,26.4,6.8,3.4,3.3,80.4,13.6,5.9,2.4,1.9,6.7,5.2,9.9,10.3,19.0,17.4,9.3,18.0,5658.0,40.1,2715.0,40.0,2943.0,40.3,1285.0,2522.0,2362.0,160.0,2362.0,1263.0,1099.0,48.0,52.0,54.4,93.7,6.3,100.0,53.5,46.5
Census Tract 302.02,6075030202,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,2980.0,128616.0,46818.0,1195.0,46014.0,2759.0,32.5,1833.0,258.0,531.0,122.0,0.0,200.0,180.0,19.0,114.0,103.0,104.0,124.0,603.0,1005.0,140.0,155.0,113.0,1969.0,609.0,282.0,83077.0,98856.0,100917.0,26.0,72.3,4.0,4.0,2759.0,64.1,9.0,18.6,4.3,4.1,0.0,7.0,6.3,0.7,4.0,3.6,3.6,4.3,21.1,35.1,4.9,5.4,4.0,68.8,21.3,9.9,4.1,3.9,4.4,7.0,8.8,18.8,12.2,24.8,8.0,8.0,4313.0,34.2,2049.0,34.6,2264.0,33.6,778.0,2229.0,2084.0,145.0,2084.0,461.0,1623.0,47.5,52.5,37.3,93.5,6.5,100.0,22.1,77.9
Census Tract 301.02,6075030102,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Laguna_Honda,2937.0,166782.0,63356.0,1271.0,67015.0,2792.0,28.1,2142.0,262.0,309.0,57.0,0.0,15.0,27.0,0.0,127.0,103.0,200.0,391.0,535.0,1032.0,230.0,81.0,137.0,1990.0,606.0,282.0,91827.0,124875.0,135632.0,0.0,73.1,2.0,5.2,2792.0,74.4,9.1,10.7,2.0,3.8,0.0,0.5,0.9,0.0,4.4,3.6,6.9,13.6,18.6,35.9,8.0,2.8,4.8,69.1,21.1,9.8,4.8,3.2,3.8,1.2,11.0,16.8,12.3,25.8,6.6,14.6,4838.0,36.8,2441.0,37.2,2397.0,36.4,971.0,2338.0,2203.0,135.0,2203.0,960.0,1243.0,50.5,49.5,44.1,94.2,5.8,100.0,43.6,56.4
Census Tract 301.01,6075030101,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Forest_Knolls,3189.0,222608.0,64527.0,1421.0,48125.0,2975.0,25.5,2189.0,161.0,617.0,11.0,0.0,21.0,132.0,20.0,167.0,0.0,64.0,126.0,839.0,1027.0,371.0,140.0,117.0,2209.0,509.0,306.0,92000.0,129857.0,133999.0,23.0,81.4,5.2,0.0,2975.0,72.4,5.3,20.4,0.4,1.5,0.0,0.7,4.4,0.7,5.5,0.0,2.1,4.2,27.7,34.0,12.3,4.6,3.9,73.0,16.8,10.1,4.8,3.4,5.8,5.9,5.9,12.8,16.5,17.1,12.7,15.1,4233.0,34.2,2021.0,35.1,2212.0,33.2,696.0,2158.0,1997.0,161.0,1997.0,560.0,1437.0,47.7,52.3,34.9,92.5,7.5,100.0,28.0,72.0
Census Tract 264.04,6075026404,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Sunnydale,1372.0,53645.0,15650.0,31.0,20084.0,1206.0,30.0,68.0,533.0,330.0,38.0,0.0,44.0,123.0,44.0,68.0,69.0,49.0,94.0,180.0,174.0,320.0,27.0,46.0,1014.0,167.0,57.0,44128.0,57150.0,56945.0,43.0,68.4,9.8,15.2,1206.0,5.5,43.1,26.7,3.1,21.7,0.0,3.6,9.9,3.6,5.5,5.6,4.0,7.6,14.5,14.1,25.8,2.2,3.7,81.9,13.5,4.6,5.5,4.8,16.4,13.2,19.0,16.2,7.5,15.9,0.0,1.6,2851.0,34.0,1411.0,31.6,1440.0,36.5,578.0,699.0,671.0,28.0,671.0,351.0,320.0,49.5,50.5,86.1,96.0,4.0,100.0,52.3,47.7
Census Tract 264.03,6075026403,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Little_Hollywood,2129.0,70279.0,16248.0,319.0,21201.0,1850.0,32.2,224.0,653.0,393.0,147.0,0.0,119.0,322.0,42.0,293.0,78.0,64.0,76.0,43.0,239.0,448.0,96.0,39.0,1520.0,157.0,182.0,48125.0,58354.0,66611.0,127.0,60.0,12.7,18.6,1850.0,12.0,35.1,21.1,7.9,23.8,0.0,6.4,17.3,2.3,15.8,4.2,3.4,4.1,2.3,12.9,24.1,5.2,2.1,81.8,8.4,9.8,7.6,15.6,13.6,4.1,10.1,17.7,14.4,9.4,5.7,1.8,4140.0,41.5,2048.0,39.9,2092.0,43.1,832.0,1120.0,1062.0,58.0,1062.0,638.0,424.0,49.5,50.5,78.3,94.8,5.2,100.0,60.1,39.9
Census Tract 302.01,6075030201,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,2369.0,107563.0,42468.0,1068.0,46369.0,2255.0,29.3,1357.0,326.0,456.0,43.0,34.0,86.0,95.0,19.0,192.0,134.0,106.0,233.0,305.0,665.0,269.0,76.0,68.0,1667.0,480.0,135.0,69267.0,86836.0,87170.0,4.0,66.5,3.7,2.2,2255.0,59.5,14.3,20.0,1.9,4.4,1.5,3.8,4.2,0.8,8.4,5.9,4.6,10.2,13.4,29.1,11.8,3.3,3.0,73.0,21.0,5.9,3.4,1.5,9.5,5.9,12.6,20.6,15.5,15.4,10.3,5.4,3928.0,37.2,1865.0,37.6,2063.0,36.8,810.0,1950.0,1842.0,108.0,1842.0,482.0,1360.0,47.5,52.5,44.0,94.5,5.5,100.0,26.2,73.8
Census Tract 264.01,6075026401,,2192.0,66749.0,17639.0,129.0,23053.0,1805.0,32.8,270.0,646.0,407.0,130.0,0.0,141.0,214.0,25.0,192.0,144.0,41.0,115.0,206.0,238.0,319.0,129.0,57.0,1359.0,286.0,176.0,49000.0,65114.0,60213.0,59.0,65.3,16.9,10.1,1805.0,14.8,35.5,22.4,7.1,20.2,0.0,7.7,11.8,1.4,10.5,7.9,2.3,6.3,11.3,13.1,17.5,7.1,3.1,74.6,15.7,9.7,0.0,3.3,19.0,14.5,13.4,13.0,14.9,16.1,2.7,3.1,4044.0,40.0,1984.0,39.3,2060.0,40.6,853.0,1062.0,1016.0,46.0,1016.0,664.0,352.0,49.1,50.9,84.0,95.7,4.3,100.0,65.4,34.6
Census Tract 263.03,6075026303,"http://en.wikipedia.org/wiki/Outer_Mission,_San_Francisco,_California",3027.0,93255.0,25217.0,237.0,35720.0,2647.0,36.0,798.0,1032.0,561.0,56.0,23.0,77.0,168.0,9.0,325.0,130.0,30.0,123.0,288.0,628.0,525.0,55.0,292.0,1909.0,590.0,114.0,91698.0,96911.0,95779.0,16.0,70.7,11.7,5.3,2647.0,29.9,38.6,21.0,2.1,8.5,0.9,2.9,6.3,0.3,12.2,4.9,1.1,4.6,10.8,23.5,19.6,2.1,10.9,71.4,22.1,4.3,2.9,4.0,2.8,7.5,8.1,13.4,23.7,21.8,6.2,9.7,4551.0,41.0,2286.0,38.6,2265.0,44.1,975.0,1299.0,1233.0,66.0,1233.0,792.0,441.0,50.2,49.8,79.1,94.9,5.1,100.0,64.2,35.8
Census Tract 263.02,6075026302,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Sunnydale,2471.0,73305.0,23717.0,523.0,33059.0,2172.0,29.9,609.0,539.0,599.0,194.0,35.0,201.0,186.0,23.0,223.0,230.0,59.0,142.0,142.0,613.0,166.0,130.0,77.0,1475.0,517.0,235.0,57813.0,74034.0,75518.0,74.0,65.6,9.9,1.7,2172.0,27.3,24.2,26.9,8.7,12.8,1.6,9.0,8.4,1.0,10.0,10.3,2.6,6.4,6.4,27.5,7.5,5.8,3.5,66.2,23.2,10.6,0.4,1.4,11.4,8.5,18.7,20.3,10.6,20.6,4.2,3.9,4992.0,40.2,2442.0,38.1,2550.0,42.3,1093.0,1523.0,1448.0,75.0,1448.0,934.0,514.0,48.9,51.1,75.5,95.1,4.9,100.0,64.5,35.5
Census Tract 264.02,6075026402,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Little_Hollywood,2292.0,89084.0,23668.0,306.0,26003.0,2105.0,30.3,483.0,657.0,513.0,236.0,6.0,202.0,26.0,52.0,165.0,125.0,88.0,64.0,264.0,419.0,451.0,164.0,136.0,1696.0,335.0,131.0,59625.0,79632.0,81061.0,38.0,67.1,5.7,1.4,2105.0,22.3,30.4,23.7,10.9,12.6,0.3,9.3,1.2,2.4,7.6,5.8,4.1,3.0,12.2,19.4,20.9,7.6,6.3,78.4,15.5,6.1,9.2,2.8,6.2,10.8,14.2,13.9,9.4,20.5,7.8,5.3,4118.0,39.2,2061.0,37.5,2057.0,41.1,858.0,1168.0,1108.0,60.0,1108.0,778.0,330.0,50.0,50.0,77.4,94.9,5.1,100.0,70.2,29.8
Census Tract 262,6075026200,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#Merced_Heights,3881.0,100528.0,25518.0,383.0,33575.0,3613.0,30.9,1003.0,596.0,1182.0,391.0,0.0,361.0,414.0,133.0,506.0,239.0,74.0,206.0,379.0,826.0,269.0,239.0,69.0,2946.0,629.0,140.0,87156.0,93170.0,89911.0,0.0,64.4,4.3,5.5,3613.0,27.0,16.0,31.8,10.5,14.6,0.0,9.7,11.1,3.6,13.6,6.4,2.0,5.5,10.2,22.2,7.2,6.4,1.9,79.3,16.9,3.8,1.9,1.5,9.0,6.8,13.4,14.1,9.0,26.9,12.0,5.5,7564.0,39.8,3760.0,38.0,3804.0,41.8,1505.0,2010.0,1907.0,103.0,1907.0,1188.0,719.0,49.7,50.3,78.9,94.9,5.1,100.0,62.3,37.7
Census Tract 261,6075026100,http://en.wikipedia.org/wiki/Neighborhoods_in_San_Francisco#oceanview,3616.0,93544.0,26680.0,504.0,31664.0,3233.0,28.2,1064.0,847.0,832.0,430.0,0.0,339.0,159.0,69.0,250.0,175.0,61.0,254.0,464.0,720.0,475.0,288.0,167.0,2637.0,568.0,216.0,71404.0,87108.0,86087.0,49.0,66.4,5.4,4.1,3233.0,31.1,24.8,24.3,12.6,7.2,0.0,9.9,4.6,2.0,7.3,5.1,1.8,7.4,13.6,21.0,13.9,8.4,4.9,77.1,16.6,6.3,2.9,4.5,3.8,8.4,17.5,16.1,13.5,17.6,6.5,9.3,6810.0,39.9,3283.0,37.6,3527.0,42.0,1409.0,1953.0,1877.0,76.0,1877.0,1084.0,793.0,48.2,51.8,75.1,96.1,3.9,100.0,57.8,42.2
Census Tract 260.03,6075026003,,2776.0,86198.0,24873.0,333.0,30012.0,2485.0,29.7,701.0,888.0,429.0,329.0,0.0,186.0,297.0,56.0,233.0,84.0,45.0,131.0,411.0,395.0,450.0,178.0,124.0,2084.0,340.0,166.0,76108.0,84068.0,84466.0,60.0,70.1,6.7,7.1,2485.0,27.1,34.3,16.6,12.7,9.4,0.0,7.2,11.5,2.2,9.0,3.2,1.7,5.1,15.9,15.3,17.4,6.9,4.8,80.5,13.1,6.4,1.7,1.5,12.1,1.6,12.7,18.6,22.1,20.6,3.2,5.9,4908.0,38.8,2423.0,36.5,2485.0,41.0,988.0,1369.0,1314.0,55.0,1314.0,875.0,439.0,49.4,50.6,75.2,96.0,4.0,100.0,66.6,33.4
Census Tract 263.01,6075026301,"http://en.wikipedia.org/wiki/Outer_Mission,_San_Francisco,_California",2356.0,82133.0,22458.0,125.0,27852.0,2066.0,30.8,539.0,551.0,542.0,120.0,0.0,100.0,195.0,52.0,161.0,227.0,20.0,165.0,245.0,453.0,342.0,62.0,84.0,1665.0,325.0,116.0,63175.0,79745.0,84405.0,62.0,63.3,10.6,2.9,2066.0,25.6,26.2,25.7,5.7,16.8,0.0,4.7,9.3,2.5,7.6,10.8,0.9,7.8,11.6,21.5,16.2,2.9,4.0,79.1,15.4,5.5,3.8,2.6,10.2,3.9,10.6,30.5,10.1,15.7,8.5,4.2,4875.0,40.6,2435.0,38.9,2440.0,42.7,1007.0,1343.0,1273.0,70.0,1273.0,760.0,513.0,49.9,50.1,79.1,94.8,5.2,100.0,59.7,40.3
Census Tract 260.04,6075026004,,2412.0,85576.0,25978.0,314.0,32548.0,2148.0,30.0,663.0,548.0,495.0,151.0,0.0,72.0,200.0,13.0,308.0,165.0,24.0,65.0,287.0,591.0,197.0,228.0,57.0,1673.0,365.0,169.0,75057.0,87881.0,86195.0,83.0,71.8,8.5,4.4,2148.0,30.0,24.8,22.4,6.8,15.9,0.0,3.3,9.1,0.6,14.0,7.5,1.1,2.9,13.0,26.8,8.9,10.3,2.6,75.8,16.5,7.7,3.0,4.8,5.3,8.7,8.8,19.3,13.0,21.7,8.4,7.0,4315.0,37.5,2188.0,35.5,2127.0,39.7,871.0,1205.0,1144.0,61.0,1144.0,678.0,466.0,50.7,49.3,76.1,94.9,5.1,100.0,59.3,40.7
