tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184
Census Tract 452,6075045200,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,3593.0,136830.0,46975.0,1307.0,41676.0,3338.0,27.3,1849.0,608.0,649.0,84.0,14.0,128.0,229.0,34.0,190.0,53.0,163.0,352.0,618.0,886.0,427.0,241.0,20.0,2633.0,319.0,403.0,61781.0,106226.0,114089.0,5.0,63.6,6.6,2.4,3338.0,55.1,18.1,19.3,2.5,4.9,0.4,3.8,6.8,1.0,5.7,1.6,4.9,10.5,18.4,26.4,12.7,7.2,0.6,78.5,9.5,12.0,6.8,5.4,6.9,9.6,12.8,15.6,10.3,12.8,7.7,12.2,6474.0,38.8,3067.0,38.0,3407.0,39.4,1403.0,2980.0,2735.0,245.0,2735.0,1036.0,1699.0,47.4,52.6,51.3,91.8,8.2,100.0,37.9,62.1
Census Tract 451,6075045100,"http://en.wikipedia.org/wiki/Lone_Mountain,_San_Francisco,_California",2879.0,123882.0,51025.0,1150.0,45673.0,2589.0,31.1,1448.0,271.0,839.0,74.0,0.0,38.0,197.0,98.0,251.0,44.0,101.0,366.0,532.0,679.0,249.0,46.0,91.0,2359.0,232.0,101.0,73750.0,110322.0,120886.0,12.0,69.8,6.5,2.0,2589.0,53.8,10.1,31.2,2.7,2.2,0.0,1.4,7.3,3.6,9.3,1.6,3.8,13.6,19.8,25.2,9.2,1.7,3.4,87.6,8.6,3.8,4.0,4.3,7.7,6.6,15.0,12.4,16.3,16.1,3.8,13.7,4996.0,36.0,2420.0,35.0,2576.0,37.2,963.0,2290.0,2150.0,140.0,2150.0,616.0,1534.0,48.4,51.6,44.8,93.9,6.1,100.0,28.7,71.3
Census Tract 428,6075042800,,1044.0,310000.0,100426.0,215.0,91406.0,1011.0,27.9,696.0,23.0,234.0,13.0,0.0,22.0,127.0,27.0,8.0,10.0,14.0,229.0,323.0,204.0,41.0,6.0,0.0,761.0,35.0,215.0,154063.0,261650.0,248366.0,0.0,54.7,3.2,0.0,1011.0,68.8,2.3,23.1,1.3,4.5,0.0,2.2,12.6,2.7,0.8,1.0,1.4,22.7,31.9,20.2,4.1,0.6,0.0,75.3,3.5,21.3,0.0,1.0,0.8,10.1,2.7,8.1,6.3,20.3,6.9,44.0,2376.0,45.8,1135.0,44.9,1241.0,46.5,653.0,1008.0,934.0,74.0,934.0,724.0,210.0,47.8,52.2,69.9,92.7,7.3,100.0,77.5,22.5
Census Tract 427,6075042700,http://www.sfgate.com/neighborhoods/sf/outerrichmond/,3870.0,126093.0,41939.0,1086.0,41840.0,3523.0,35.4,1955.0,555.0,890.0,84.0,0.0,120.0,115.0,89.0,562.0,160.0,241.0,280.0,806.0,588.0,402.0,210.0,81.0,2897.0,295.0,372.0,78059.0,99789.0,109014.0,36.0,72.0,5.6,3.7,3523.0,53.5,15.2,24.4,2.3,4.7,0.0,3.3,3.1,2.4,15.4,4.4,6.6,7.7,22.1,16.1,11.0,5.7,2.2,79.3,8.1,10.2,4.6,4.0,10.4,9.1,9.6,9.5,13.4,20.6,8.4,10.3,5326.0,40.7,2533.0,39.5,2793.0,41.7,1238.0,2576.0,2352.0,224.0,2352.0,657.0,1695.0,47.6,52.4,52.6,91.3,8.7,100.0,27.9,72.1
Census Tract 402,6075040200,,3170.0,121769.0,41466.0,1037.0,42336.0,2977.0,26.7,1778.0,295.0,680.0,92.0,0.0,78.0,165.0,45.0,378.0,19.0,85.0,422.0,607.0,590.0,324.0,202.0,162.0,2494.0,216.0,340.0,69564.0,97945.0,97788.0,31.0,68.4,2.9,6.1,2977.0,57.8,9.6,22.1,3.0,7.5,0.0,2.5,5.4,1.5,12.3,0.6,2.8,13.7,19.7,19.2,10.5,6.6,5.3,81.1,7.0,11.0,5.9,4.7,4.5,5.1,12.9,18.0,13.8,17.1,5.9,12.1,5191.0,38.8,2483.0,37.9,2708.0,39.9,1126.0,2559.0,2352.0,207.0,2352.0,682.0,1670.0,47.8,52.2,47.9,91.9,8.1,100.0,29.0,71.0
Census Tract 401,6075040100,,2747.0,121336.0,43829.0,1094.0,36704.0,2490.0,31.0,1221.0,423.0,779.0,61.0,0.0,77.0,110.0,35.0,277.0,48.0,116.0,293.0,481.0,581.0,352.0,141.0,39.0,2178.0,153.0,205.0,56812.0,94505.0,100756.0,98.0,65.8,7.2,14.3,2490.0,47.9,16.6,30.5,2.4,2.6,0.0,3.0,4.3,1.4,10.9,1.9,4.5,11.5,18.9,22.8,13.8,5.5,1.5,85.4,6.0,8.0,3.7,9.5,3.3,11.5,16.1,14.9,10.1,13.7,6.4,10.6,4088.0,38.0,1900.0,37.3,2188.0,38.8,822.0,2022.0,1863.0,159.0,1863.0,512.0,1351.0,46.5,53.5,44.1,92.1,7.9,100.0,27.5,72.5
Census Tract 354,6075035400,http://www.sfgate.com/neighborhoods/sf/outersunset/,3590.0,101382.0,32716.0,591.0,34546.0,3171.0,33.9,1400.0,463.0,768.0,261.0,0.0,346.0,260.0,268.0,272.0,136.0,135.0,209.0,429.0,638.0,351.0,106.0,158.0,2223.0,635.0,442.0,75100.0,93444.0,99166.0,174.0,65.2,7.9,10.4,3171.0,42.3,14.0,23.2,7.9,12.6,0.0,10.5,7.9,8.1,8.2,4.1,4.1,6.3,13.0,19.3,10.6,3.2,4.8,67.2,19.2,13.4,6.1,4.9,11.0,3.0,9.8,15.1,14.6,20.0,10.9,4.6,6691.0,42.2,3332.0,41.3,3359.0,43.5,1540.0,2488.0,2377.0,111.0,2377.0,1468.0,909.0,49.8,50.2,64.8,95.5,4.5,100.0,61.8,38.2
Census Tract 353,6075035300,http://www.sfgate.com/neighborhoods/sf/outersunset/,3817.0,91784.0,27034.0,563.0,30164.0,3283.0,34.2,1371.0,710.0,801.0,277.0,17.0,242.0,167.0,68.0,310.0,177.0,78.0,340.0,435.0,764.0,509.0,199.0,151.0,2470.0,632.0,340.0,77936.0,83513.0,77306.0,143.0,58.9,9.4,3.4,3283.0,39.7,20.5,23.2,8.0,8.6,0.5,7.0,4.8,2.0,9.0,5.1,2.3,9.8,12.6,22.1,14.7,5.8,4.4,71.4,18.3,9.8,2.0,2.8,5.3,9.5,14.3,13.8,18.6,22.4,8.3,3.0,7226.0,42.2,3464.0,40.3,3762.0,44.4,1734.0,2557.0,2458.0,99.0,2458.0,1565.0,893.0,47.9,52.1,70.5,96.1,3.9,100.0,63.7,36.3
Census Tract 352.01,6075035201,http://www.sfgate.com/neighborhoods/sf/goldengatepark/,2837.0,80781.0,27266.0,430.0,33990.0,2423.0,35.0,883.0,564.0,670.0,170.0,0.0,141.0,149.0,39.0,148.0,69.0,163.0,264.0,298.0,618.0,322.0,207.0,129.0,1873.0,457.0,217.0,62350.0,77663.0,74599.0,25.0,64.5,10.2,5.2,2423.0,34.7,22.1,26.3,6.7,10.2,0.0,5.5,5.9,1.5,5.8,2.7,6.4,10.4,11.7,24.3,12.6,8.1,5.1,73.5,17.9,8.5,1.4,1.4,7.9,11.4,15.2,23.1,11.8,15.6,7.5,4.9,5300.0,40.4,2689.0,38.7,2611.0,42.5,1164.0,1975.0,1865.0,110.0,1865.0,1122.0,743.0,50.7,49.3,62.4,94.4,5.6,100.0,60.2,39.8
Census Tract 477.01,6075047701,http://www.sfgate.com/neighborhoods/sf/outerrichmond/,2456.0,97002.0,36267.0,1043.0,42459.0,2236.0,31.3,1011.0,437.0,551.0,34.0,0.0,34.0,178.0,52.0,229.0,93.0,91.0,192.0,275.0,441.0,400.0,183.0,97.0,1623.0,368.0,274.0,61647.0,73627.0,79631.0,44.0,70.7,7.8,5.3,2236.0,44.6,19.3,24.3,1.5,10.2,0.0,1.5,7.9,2.3,10.1,4.1,4.0,8.5,12.1,19.5,17.7,8.1,4.3,71.7,16.2,12.1,5.9,5.5,11.1,5.0,10.2,25.5,9.9,16.8,5.8,4.3,4334.0,40.8,2104.0,38.7,2230.0,43.5,998.0,2019.0,1869.0,150.0,1869.0,612.0,1257.0,48.5,51.5,53.4,92.6,7.4,100.0,32.7,67.3
