business_name,lic_code,street_address,business_start_date,business_end_date,Lifespan,isClosed,full_address,business_id,name,district,MA,year,latitude,longitude,tract,GEOID10,link,HC01_VC05,HC01_VC113,HC01_VC115,HC01_VC117,HC01_VC121,HC01_VC28,HC01_VC36,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC50,HC01_VC51,HC01_VC52,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC85,HC01_VC86,HC01_VC89,HC01_VC99,HC03_VC05,HC03_VC13,HC03_VC156,HC03_VC28,HC03_VC41,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC50,HC03_VC51,HC03_VC52,HC03_VC53,HC03_VC54,HC03_VC55,HC03_VC56,HC03_VC57,HC03_VC58,HC03_VC59,HC03_VC60,HC03_VC61,HC03_VC62,HC03_VC67,HC03_VC68,HC03_VC69,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC82,HC03_VC83,HC03_VC84,HD01_S001,HD01_S020,HD01_S026,HD01_S045,HD01_S051,HD01_S070,HD01_S151,HD01_S169,HD01_S170,HD01_S171,HD01_S180,HD01_S181,HD01_S184,HD02_S026,HD02_S051,HD02_S151,HD02_S170,HD02_S171,HD02_S180,HD02_S181,HD02_S184,Opening_year,Closing_year,Opening_month,Closing_month,price_level,rating
tacos club,,2312 market st,2015-05-18,,1176.0,no,"2312 market st, San Francisco, CA, 94114",74453,tacos club,Duboce Triangle,83.0,2018.0,37.763863799999996,-122.4338815,Census Tract 169,6075016900,"http://en.wikipedia.org/wiki/Duboce_Triangle,_San_Francisco,_California",2714.0,116590.0,58429.0,1458.0,53031.0,2503.0,31.7,1575.0,214.0,558.0,172.0,0.0,129.0,184.0,46.0,302.0,103.0,155.0,158.0,571.0,644.0,117.0,82.0,63.0,1992.0,350.0,212.0,91020.0,105133.0,108409.0,26.0,84.5,5.9,0.0,2503.0,61.7,8.4,21.8,6.7,1.4,0.0,5.1,7.2,1.8,11.8,4.0,6.1,6.2,22.4,25.2,4.6,3.2,2.5,78.0,13.7,8.3,3.6,4.1,7.0,5.0,10.0,12.8,11.3,21.9,13.9,10.2,2924.0,38.6,1822.0,40.3,1102.0,35.4,308.0,1724.0,1589.0,135.0,1589.0,455.0,1134.0,62.3,37.7,19.4,92.2,7.8,100.0,28.6,71.4,2015,,5,,,4.5
subway sandwiches,,408 montgomery st,2012-02-14,2017-10-16,2071.0,yes,"408 montgomery st, San Francisco, CA, 94108",93422,subway #28285,Financial District,93.0,2018.0,37.7932126,-122.40271990000001,Census Tract 117,6075011700,http://sanfrancisco.about.com/od/neighborhoodprofiles/ig/sfmaps/financial-district.htm,733.0,55747.0,27841.0,737.0,30855.0,685.0,19.1,234.0,180.0,139.0,0.0,0.0,13.0,56.0,0.0,114.0,71.0,47.0,57.0,102.0,126.0,55.0,54.0,0.0,578.0,58.0,59.0,23165.0,41735.0,56874.0,84.0,54.3,5.2,26.6,685.0,33.7,25.9,20.0,0.0,20.4,0.0,1.9,8.1,0.0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0.0,83.2,8.3,8.5,18.3,18.8,16.6,17.0,3.4,10.0,1.6,6.5,4.8,2.9,1783.0,43.6,988.0,44.3,795.0,42.4,292.0,1416.0,1012.0,404.0,1012.0,87.0,925.0,55.4,44.6,28.9,71.5,28.5,100.0,8.6,91.4,2012,2017.0,2,10.0,1.0,4.4
subway sandwiches,,423 bush st,2012-02-14,2017-10-16,2071.0,yes,"423 bush st, San Francisco, CA, 94108",93431,subway #12181,Downtown / Union Square,89.0,2017.0,37.79061110000001,-122.4045162,Census Tract 117,6075011700,http://www.sfgate.com/neighborhoods/sf/unionsquare/,733.0,55747.0,27841.0,737.0,30855.0,685.0,19.1,234.0,180.0,139.0,0.0,0.0,13.0,56.0,0.0,114.0,71.0,47.0,57.0,102.0,126.0,55.0,54.0,0.0,578.0,58.0,59.0,23165.0,41735.0,56874.0,84.0,54.3,5.2,26.6,685.0,33.7,25.9,20.0,0.0,20.4,0.0,1.9,8.1,0.0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0.0,83.2,8.3,8.5,18.3,18.8,16.6,17.0,3.4,10.0,1.6,6.5,4.8,2.9,1783.0,43.6,988.0,44.3,795.0,42.4,292.0,1416.0,1012.0,404.0,1012.0,87.0,925.0,55.4,44.6,28.9,71.5,28.5,100.0,8.6,91.4,2012,2017.0,2,10.0,2.0,4.5
shabu club llc,"Restaurant 1,000 - 2,000 Sqft",951 clement st,2013-05-01,,1923.0,no,"951 clement st, San Francisco, CA, 94118",71999,shabu club,Inner Richmond,83.0,2017.0,37.782523499999996,-122.4695899,Census Tract 402,6075040200,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,3170.0,121769.0,41466.0,1037.0,42336.0,2977.0,26.7,1778.0,295.0,680.0,92.0,0.0,78.0,165.0,45.0,378.0,19.0,85.0,422.0,607.0,590.0,324.0,202.0,162.0,2494.0,216.0,340.0,69564.0,97945.0,97788.0,31.0,68.4,2.9,6.1,2977.0,57.8,9.6,22.1,3.0,7.5,0.0,2.5,5.4,1.5,12.3,0.6,2.8,13.7,19.7,19.2,10.5,6.6,5.3,81.1,7.0,11.0,5.9,4.7,4.5,5.1,12.9,18.0,13.8,17.1,5.9,12.1,5191.0,38.8,2483.0,37.9,2708.0,39.9,1126.0,2559.0,2352.0,207.0,2352.0,682.0,1670.0,47.8,52.2,47.9,91.9,8.1,100.0,29.0,71.0,2013,,5,,,3.8
aquitaine llc,"Restaurant Greater Than 2,000 Sqft",175 sutter st,2013-05-01,,1923.0,no,"175 sutter st, San Francisco, CA, 94104",74763,aquitaine llc,Downtown / Union Square,88.5,2017.0,37.7896994,-122.40330459999998,Census Tract 117,6075011700,http://www.sfgate.com/neighborhoods/sf/unionsquare/,733.0,55747.0,27841.0,737.0,30855.0,685.0,19.1,234.0,180.0,139.0,0.0,0.0,13.0,56.0,0.0,114.0,71.0,47.0,57.0,102.0,126.0,55.0,54.0,0.0,578.0,58.0,59.0,23165.0,41735.0,56874.0,84.0,54.3,5.2,26.6,685.0,33.7,25.9,20.0,0.0,20.4,0.0,1.9,8.1,0.0,16.4,10.2,6.8,8.2,14.7,18.1,7.9,7.8,0.0,83.2,8.3,8.5,18.3,18.8,16.6,17.0,3.4,10.0,1.6,6.5,4.8,2.9,1783.0,43.6,988.0,44.3,795.0,42.4,292.0,1416.0,1012.0,404.0,1012.0,87.0,925.0,55.4,44.6,28.9,71.5,28.5,100.0,8.6,91.4,2013,,5,,,
trattoria da vittorio,"Restaurant 1,000 - 2,000 Sqft",150 west portal ave,2013-04-23,,1931.0,no,"150 west portal ave, San Francisco, CA, 94127",70838,trattoria da vittorio,West Portal,84.5,2018.0,37.739222999999996,-122.46766000000001,Census Tract 308,6075030800,"http://en.wikipedia.org/wiki/West_Portal,_San_Francisco,_California",3029.0,186139.0,61924.0,576.0,46078.0,2742.0,28.0,1529.0,395.0,698.0,43.0,0.0,54.0,121.0,68.0,294.0,87.0,64.0,480.0,453.0,557.0,416.0,129.0,114.0,2131.0,340.0,319.0,122139.0,162196.0,142927.0,0.0,66.3,6.3,2.8,2742.0,53.9,13.9,24.6,1.5,6.1,0.0,1.9,4.3,2.4,10.4,3.1,2.3,16.9,16.0,19.6,14.7,4.5,4.0,75.1,12.0,11.2,2.2,1.6,4.0,6.9,6.8,9.6,8.1,21.8,13.2,25.9,5667.0,46.4,2723.0,44.8,2944.0,47.9,1451.0,2315.0,2145.0,170.0,2145.0,1666.0,479.0,48.1,51.9,67.6,92.7,7.3,100.0,77.7,22.3,2013,,4,,1.0,4.4
viva goa indian cuisine,"Restaurant 1,000 - 2,000 Sqft",2420 lombard st,2013-04-19,,1935.0,no,"2420 lombard st, San Francisco, CA, 94123",63256,viva goa indian cuisine,Marina,73.5,2018.0,37.799188,-122.441423,Census Tract 128,6075012800,http://www.sfgate.com/neighborhoods/sf/marina/,2875.0,197169.0,83406.0,1634.0,66746.0,2683.0,29.3,1658.0,115.0,820.0,90.0,0.0,85.0,249.0,115.0,195.0,0.0,167.0,736.0,523.0,298.0,199.0,105.0,37.0,2306.0,188.0,215.0,104801.0,142614.0,132260.0,14.0,78.5,5.8,2.7,2683.0,61.2,4.2,30.3,3.3,1.0,0.0,3.1,9.2,4.2,7.2,0.0,6.2,27.2,19.3,11.0,7.3,3.9,1.4,85.1,6.9,7.9,1.3,2.1,6.0,2.4,2.6,19.8,9.0,20.9,14.3,21.6,4106.0,36.6,1872.0,38.2,2234.0,35.1,732.0,2629.0,2363.0,266.0,2363.0,718.0,1645.0,45.6,54.4,31.0,89.9,10.1,100.0,30.4,69.6,2013,,4,,2.0,3.9
sichuan home inc,"Restaurant 1,000 - 2,000 Sqft",5037 geary blvd,2013-04-01,,1953.0,no,"5037 geary blvd, San Francisco, CA, 94118",88063,sichuan home inc,Inner Richmond,75.0,2017.0,37.7804054,-122.4736471,Census Tract 476,6075047600,http://www.sfgate.com/neighborhoods/sf/innerrichmond/,3137.0,99619.0,35493.0,1058.0,37306.0,2876.0,28.1,1454.0,487.0,656.0,180.0,0.0,98.0,102.0,27.0,309.0,218.0,233.0,194.0,421.0,770.0,371.0,153.0,104.0,2384.0,241.0,357.0,65682.0,83187.0,85930.0,117.0,67.1,4.4,5.1,2876.0,48.5,16.2,21.9,6.0,7.4,0.0,3.3,3.4,0.9,10.3,7.3,7.8,6.5,14.0,25.7,12.4,5.1,3.5,79.5,8.0,11.9,3.8,7.1,6.6,12.7,8.3,18.4,11.7,17.2,6.8,7.3,5137.0,41.4,2432.0,40.7,2705.0,42.2,1199.0,2338.0,2173.0,165.0,2173.0,890.0,1283.0,47.3,52.7,55.2,92.9,7.1,100.0,41.0,59.0,2013,,4,,,4.0
tai chi restaurant,"Restaurant Greater Than 2,000 Sqft",2031 polk st,2013-05-03,,1921.0,no,"2031 polk st, San Francisco, CA, 94109",72049,tai chi restaurant,Polk Gulch,80.0,2018.0,37.7954896,-122.42197240000002,Census Tract 110,6075011000,"http://en.wikipedia.org/wiki/Polk_Gulch,_San_Francisco,_California",3782.0,89988.0,40628.0,1542.0,34383.0,3469.0,28.7,1306.0,775.0,957.0,50.0,0.0,121.0,348.0,141.0,400.0,198.0,89.0,303.0,801.0,257.0,765.0,88.0,26.0,3236.0,149.0,152.0,53542.0,83809.0,78090.0,109.0,72.2,6.5,17.6,3469.0,36.9,21.9,27.1,1.4,12.7,0.0,3.4,9.8,4.0,11.3,5.6,2.5,8.6,22.6,7.3,21.6,2.5,0.7,91.5,4.2,4.3,4.6,6.4,10.4,7.6,17.8,16.1,11.9,13.9,3.5,7.9,4827.0,35.8,2270.0,37.1,2557.0,34.5,766.0,2714.0,2475.0,239.0,2475.0,357.0,2118.0,47.0,53.0,30.9,91.2,8.8,100.0,14.4,85.6,2013,,5,,2.0,4.0
golden lotus,"Restaurant 1,000 - 2,000 Sqft",631 larkin st,2013-04-30,,1924.0,no,"631 larkin st, San Francisco, CA, 94103",74371,golden lotus,Tenderloin,84.5,2017.0,37.7838268,-122.41779340000001,Census Tract 124.02,6075012402,http://www.sfgate.com/neighborhoods/sf/tenderloin/,1439.0,44595.0,23441.0,1570.0,24228.0,1219.0,28.7,489.0,489.0,182.0,72.0,16.0,79.0,75.0,6.0,59.0,10.0,27.0,135.0,166.0,232.0,294.0,153.0,36.0,1056.0,199.0,33.0,18908.0,34463.0,45318.0,150.0,51.9,10.5,20.5,1219.0,38.0,38.0,14.1,5.6,4.3,1.2,6.1,5.8,0.5,4.6,0.8,2.1,10.5,12.9,18.0,22.8,11.9,2.8,82.0,15.5,2.6,26.5,19.0,11.1,10.1,10.5,13.1,5.7,1.6,0.3,2.1,3974.0,36.8,2410.0,38.9,1564.0,34.0,493.0,2517.0,2254.0,263.0,2254.0,94.0,2160.0,60.6,39.4,21.9,89.6,10.4,100.0,4.2,95.8,2013,,4,,2.0,4.3
