Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv
B150773,4/9/15,6/8/15,"$5,551.00 ",FALSE,FALSE,1,400 Block of Wilde Avenue,94134,10,Visitacion Valley,"(37.717602514738, -122.406268256875)",75,9,9,40,39,7,8,10,309
B150807,4/10/15,7/20/15,"$74,101.79 ",FALSE,FALSE,1,500 Block of Chenery Street,94131,8,Glen Park,"(37.735093956148, -122.431073052252)",96,9,5,10,7,7,5,2,63
B150843,4/15/15,6/29/15,"$15,000.00 ",FALSE,TRUE,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.766257677745, -122.43336268257)",28,7,5,5,3,5,5,15,"28,862"
B150991,4/20/15,4/20/15,"$80,000.00 ",FALSE,FALSE,2,2400 Block of Franklin Street,94123,2,Marina,"(37.796936145829, -122.42541172011)",102,4,6,13,17,9,1,13,57
B150992,4/21/15,9/18/15,"$6,500.00 ",FALSE,FALSE,1,1600 Block of 42nd Avenue,94122,4,Sunset/Parkside,"(37.755939411982, -122.501380811213)",39,10,7,35,35,8,3,1,56
B150993,,4/22/15,"$20,000.00 ",FALSE,FALSE,2,900 Block of Steiner Street,94117,5,Western Addition,"(37.777965130418, -122.433244710329)",23,4,11,39,41,9,11,15,"29,492"
B150996,4/23/15,7/6/15,"$50,400.00 ",FALSE,FALSE,1,500 Block of Clayton Street,94117,5,Haight Ashbury,"(37.770273091638, -122.448605047541)",25,7,11,3,9,5,11,15,"29,492"
B150998,4/24/15,8/17/15,"$30,000.00 ",FALSE,FALSE,3,900 Block of Somerset Street,94134,10,Portola,"(37.719940199255, -122.404844605055)",75,9,9,25,28,7,8,10,309
B151043,4/29/15,7/27/15,"$19,153.00 ",FALSE,FALSE,4,200 Block of Richland Avenue,94110,9,Bernal Heights,"(37.735797629099, -122.421662064611)",61,9,2,2,2,7,7,2,"28,859"
B151044,4/29/15,6/8/16,"$22,212.80 ",FALSE,TRUE,2,200 Block of Chestnut Street,94133,3,North Beach,"(37.804410245586, -122.407535183782)",18,6,3,23,23,1,10,3,308
B151057,4/30/15,6/25/15,"$10,000.00 ",FALSE,FALSE,2,1900 Block of Sacramento Street,94109,2,Pacific Heights,"(37.791032114342, -122.424992665272)",102,4,6,30,27,9,1,13,"28,858"
B151058,4/30/15,6/22/15,"$45,000.00 ",FALSE,FALSE,1,100 Block of 4th Avenue,94118,2,Inner Richmond,"(37.786020133702, -122.462424895675)",4,8,6,11,11,6,1,11,54
B151070,5/1/15,5/7/15,"$23,500.00 ",FALSE,FALSE,2,800 Block of 30th Avenue,94121,1,Outer Richmond,"(37.773262007287, -122.489540584596)",8,8,4,29,26,6,2,11,55
B151072,,5/1/15,"$47,500.00 ",FALSE,FALSE,2,500 Block of Diamond Street,94114,8,Noe Valley,"(37.753945255702, -122.436632174786)",84,3,5,22,22,4,5,2,"28,862"
B151113,5/5/15,7/3/15,"$15,000.00 ",FALSE,FALSE,1,0 Block of States Street,94114,8,Castro/Upper Market,"(37.763410055069, -122.43906507197)",113,7,5,5,3,5,5,15,"28,862"
B151125,5/7/15,8/25/15,"$61,500.00 ",FALSE,FALSE,1,2700 Block of Bryant Street,94110,9,Mission,"(37.750404865685, -122.408832584317)",53,3,2,20,19,4,7,2,"28,859"
B151126,5/7/15,8/7/15,"$14,102.00 ",FALSE,TRUE,1,1600 Block of Ulloa Street,94116,7,West of Twin Peaks,"(37.741203834235, -122.473954646438)",46,10,8,41,40,8,4,1,"29,491"
B151127,5/7/15,6/23/17,"$90,000.00 ",FALSE,FALSE,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072, -122.421596103325)",32,1,10,20,19,2,9,8,"28,853"
B151129,5/7/15,6/29/15,"$27,422.00 ",FALSE,FALSE,2,400 Block of Vallejo Street,94133,3,North Beach,"(37.799081056607, -122.40433193337)",106,6,3,23,23,1,10,3,308
B151130,5/7/15,7/20/15,"$53,000.00 ",FALSE,TRUE,2,100 Block of 26th Avenue,94121,2,Seacliff,"(37.786633001211, -122.486212276152)",1,8,6,33,33,6,1,11,55
B151131,5/7/15,6/1/15,"$4,000.00 ",FALSE,FALSE,1,400 Block of 9th Avenue,94118,1,Inner Richmond,"(37.779909746966, -122.467489929352)",5,8,4,11,11,6,2,11,54
B151139,,5/8/15,"$35,307.00 ",FALSE,TRUE,2,500 Block of 42nd Avenue,94121,1,Outer Richmond,"(37.778293562996, -122.502945689316)",6,8,4,29,26,6,2,11,55
B151193,5/13/15,9/15/15,"$80,000.00 ",FALSE,FALSE,1,1100 Block of Dolores Street,94110,8,Noe Valley,"(37.750623761789, -122.425184893247)",52,3,5,22,22,4,5,2,"28,862"
B151196,5/14/15,10/21/15,"$42,500.00 ",FALSE,FALSE,2,1300 Block of 20th Avenue,94122,4,Sunset/Parkside,"(37.762580945494, -122.478195483323)",39,10,7,35,35,8,3,1,56
B151197,,5/14/15,"$8,200.00 ",FALSE,FALSE,1,800 Block of Capp Street,94110,9,Mission,"(37.753099981063, -122.417500850902)",53,3,2,20,19,4,7,2,"28,859"
B151198,,5/14/15,"$40,000.00 ",FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.753425458254, -122.412042539296)",53,3,2,20,19,4,7,2,"28,859"
B151199,,5/14/15,"$30,000.00 ",FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.753425458254, -122.412042539296)",53,3,2,20,19,4,7,2,"28,859"
B151200,,5/14/15,"$30,000.00 ",FALSE,FALSE,4,2700 Block of Harrison Street,94110,9,Mission,"(37.753425458254, -122.412042539296)",53,3,2,20,19,4,7,2,"28,859"
B151221,,5/15/15,"$57,500.00 ",FALSE,TRUE,1,2500 Block of Union Street,94123,2,Marina,"(37.796301049938, -122.441245113872)",14,4,6,13,17,9,1,13,57
B151222,5/15/15,8/3/15,"$75,000.00 ",FALSE,TRUE,2,2800 Block of 25th Street,94110,9,Mission,"(37.751338291242, -122.407593099421)",53,3,2,20,19,4,7,2,"28,859"
B151254,5/19/15,7/20/15,"$15,000.00 ",FALSE,FALSE,1,1000 Block of Bush Street,94109,3,Nob Hill,"(37.789478817108, -122.414561132601)",50,6,3,21,21,1,10,5,"28,858"
B151255,,5/19/15,"$30,000.00 ",FALSE,FALSE,1,100 Block of Harold Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.720947545524, -122.453027122776)",64,10,1,24,24,8,6,9,"28,861"
B151294,5/20/15,8/25/15,"$23,500.00 ",FALSE,TRUE,2,1400 Block of Gough Street,94109,5,Japantown,"(37.786654741659, -122.42502102689)",100,4,11,15,13,9,11,13,"28,858"
B151295,5/21/15,11/16/15,"$70,000.00 ",FALSE,TRUE,5,2700 Block of 43rd Avenue,94116,4,Sunset/Parkside,"(37.735751595099, -122.501045149113)",40,10,7,35,35,8,3,1,"29,491"
B151296,5/21/15,7/7/15,"$9,000.00 ",FALSE,FALSE,2,0 Block of Mangels Avenue,94131,8,West of Twin Peaks,"(37.73302886687, -122.439285759409)",95,9,5,41,40,7,5,9,63
B151297,,5/21/15,"$16,000.00 ",FALSE,FALSE,2,600 Block of Gates Street,94110,9,Bernal Heights,"(37.735349922553, -122.414330221442)",83,9,2,2,2,7,7,2,"28,859"
B151298,,5/21/15,"$69,000.00 ",FALSE,FALSE,4,600 Block of Gates Street,94110,9,Bernal Heights,"(37.735349922553, -122.414330221442)",83,9,2,2,2,7,7,2,"28,859"
B151325,,5/27/15,"$24,500.00 ",FALSE,FALSE,4,2400 Block of Pacheco Street,94116,4,Sunset/Parkside,"(37.75011586683, -122.486393944392)",39,10,7,35,35,8,3,1,"29,491"
B151330,5/28/15,7/27/15,"$5,500.00 ",FALSE,FALSE,2,200 Block of Laguna Street,94102,5,Hayes Valley,"(37.773424617787, -122.425721509672)",26,4,11,9,10,9,11,7,"28,852"
B151331,,5/28/15,"$45,000.00 ",FALSE,TRUE,1,0 Block of Wilmot Street,94115,5,Pacific Heights,"(37.787536292438, -122.432720418419)",101,4,11,30,27,9,11,13,"29,490"
B151332,,5/28/15,"$29,500.00 ",FALSE,FALSE,2,400 Block of Clipper Street,94114,8,Noe Valley,"(37.748883778371, -122.43496438899)",84,3,5,22,22,4,5,2,"28,862"
B151333,,5/28/15,"$34,800.00 ",FALSE,TRUE,1,1000 Block of Pine Street,94109,3,Nob Hill,"(37.790513715726, -122.413080090072)",50,6,3,21,21,1,10,5,"28,858"
B151355,5/29/15,8/21/15,"$18,000.00 ",FALSE,TRUE,4,0 Block of De Long Street,94112,11,Outer Mission,"(37.709725787688, -122.458369928805)",66,10,1,28,25,8,6,9,"28,861"
B151358,6/1/15,8/27/15,"$60,000.00 ",FALSE,TRUE,2,1900 Block of 42nd Avenue,94116,4,Sunset/Parkside,"(37.750358698153, -122.500853405229)",39,10,7,35,35,8,3,1,"29,491"
B151359,6/1/15,8/13/15,"$44,500.00 ",FALSE,FALSE,5,700 Block of Pine Street,94108,3,Nob Hill,"(37.791092684394, -122.40850746111)",16,6,3,21,21,1,10,5,"28,857"
B151372,6/2/15,12/7/15,"$112,794.00 ",FALSE,TRUE,2,100 Block of Lower Terrace,94114,8,Castro/Upper Market,"(37.763328606751, -122.442889335285)",112,7,5,5,3,5,5,15,"28,862"
B151373,6/2/15,12/7/15,"$25,600.00 ",FALSE,TRUE,1,100 Block of Lower Terrace,94114,8,Castro/Upper Market,"(37.763328606751, -122.442889335285)",112,7,5,5,3,5,5,15,"28,862"
B151374,6/2/15,8/11/15,"$14,000.00 ",FALSE,TRUE,2,1700 Block of 11th Avenue,94122,7,Inner Sunset,"(37.75555326498, -122.467936193092)",44,10,8,14,12,8,4,1,56
B151378,6/3/15,8/31/15,"$70,000.00 ",FALSE,TRUE,2,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651, -122.434358454096)",28,7,5,5,3,5,5,15,"28,862"
B151379,6/3/15,8/31/15,"$70,000.00 ",FALSE,TRUE,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651, -122.434358454096)",28,7,5,5,3,5,5,15,"28,862"
B151380,6/3/15,8/31/15,"$70,000.00 ",FALSE,TRUE,1,2200 Block of 15th Street,94114,8,Castro/Upper Market,"(37.765739788651, -122.434358454096)",28,7,5,5,3,5,5,15,"28,862"
B151397,6/4/15,9/21/15,"$49,276.00 ",FALSE,FALSE,2,1200 Block of Willard Street,94117,5,Inner Sunset,"(37.76570791972, -122.454430157524)",110,7,11,14,12,5,11,15,"29,492"
B151398,6/4/15,7/15/15,"$3,500.00 ",FALSE,FALSE,1,0 Block of Red Rock Way,94131,8,Noe Valley,"(37.746036675352, -122.442196632259)",57,9,5,22,22,7,5,2,63
B151402,6/5/15,8/14/15,"$13,000.00 ",FALSE,FALSE,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.766257677745, -122.43336268257)",28,7,5,5,3,5,5,15,"28,862"
B151406,6/8/15,9/4/15,"$20,000.00 ",FALSE,FALSE,4,200 Block of Eureka Street,94114,8,Castro/Upper Market,"(37.758295847598, -122.437966749334)",115,3,5,5,3,4,5,2,"28,862"
B151443,,6/9/15,"$35,000.00 ",FALSE,TRUE,1,0 Block of Doric Alley,94133,3,Chinatown,"(37.795288398346, -122.410975378937)",16,6,3,6,4,1,10,3,"28,857"
B151449,,6/10/15,"$54,000.00 ",FALSE,FALSE,3,200 Block of Guerrero Street,94103,8,Mission,"(37.767199041071, -122.424452084359)",37,3,5,20,19,4,5,8,"28,853"
B151450,,6/10/15,"$115,000.00 ",FALSE,FALSE,2,4000 Block of Mission Street,94112,8,Outer Mission,"(37.732242625246, -122.427902108263)",93,9,5,28,25,7,5,9,"28,861"
