"business_id","score","date","type"
428,"96","20160707","routine"
429,"87","20160602","routine"
431,"92","20160525","routine"
431,"86","20180417","routine"
435,"88","20180410","routine"
435,"92","20151028","routine"
435,"92","20161212","routine"
436,"87","20180523","routine"
436,"79","20160608","routine"
436,"87","20161028","routine"
438,"84","20171010","routine"
438,"90","20160321","routine"
442,"90","20180123","routine"
442,"83","20170411","routine"
442,"86","20160308","routine"
443,"92","20160316","routine"
443,"94","20171107","routine"
447,"96","20160908","routine"
447,"96","20171128","routine"
448,"84","20151021","routine"
448,"88","20170607","routine"
462,"98","20170719","routine"
462,"94","20160520","routine"
463,"88","20180423","routine"
463,"88","20160706","routine"
470,"92","20180523","routine"
470,"87","20160920","routine"
473,"94","20160927","routine"
473,"90","20180409","routine"
475,"90","20151006","routine"
475,"90","20161102","routine"
475,"90","20180410","routine"
477,"92","20170605","routine"
477,"88","20160406","routine"
479,"87","20160729","routine"
479,"92","20180607","routine"
480,"86","20160427","routine"
480,"80","20171016","routine"
483,"96","20160505","routine"
483,"96","20171030","routine"
484,"98","20180615","routine"
484,"91","20160711","routine"
485,"96","20180509","routine"
485,"96","20161207","routine"
485,"98","20150923","routine"
486,"93","20160805","routine"
486,"100","20180619","routine"
488,"92","20180116","routine"
488,"89","20160525","routine"
489,"75","20171130","routine"
489,"80","20161220","routine"
489,"79","20160721","routine"
489,"69","20160308","routine"
489,"72","20150728","routine"
494,"94","20170418","routine"
494,"74","20160512","routine"
496,"91","20160412","routine"
496,"92","20171016","routine"
500,"89","20161128","routine"
500,"92","20180403","routine"
500,"86","20150930","routine"
502,"94","20171129","routine"
502,"98","20161206","routine"
505,"90","20170207","routine"
505,"90","20180305","routine"
505,"90","20160607","routine"
507,"86","20170823","routine"
507,"80","20160324","routine"
507,"90","20161128","routine"
509,"79","20160222","routine"
509,"90","20160829","routine"
509,"87","20180314","routine"
510,"88","20160523","routine"
510,"87","20161109","routine"
510,"88","20170919","routine"
519,"91","20171212","routine"
519,"85","20160809","routine"
520,"98","20160520","routine"
520,"92","20180129","routine"
522,"92","20170922","routine"
522,"88","20170209","routine"
522,"94","20160706","routine"
522,"93","20151124","routine"
527,"88","20151005","routine"
527,"84","20161005","routine"
527,"75","20170821","routine"
529,"90","20160614","routine"
529,"90","20170328","routine"
538,"88","20170927","routine"
538,"86","20160928","routine"
538,"85","20160411","routine"
539,"96","20161031","routine"
539,"90","20171010","routine"
539,"90","20180529","routine"
539,"96","20160419","routine"
542,"83","20160224","routine"
542,"86","20161006","routine"
542,"80","20170630","routine"
542,"88","20180612","routine"
544,"74","20170822","routine"
544,"78","20160608","routine"
547,"90","20180501","routine"
547,"98","20150813","routine"
547,"94","20170224","routine"
547,"98","20160412","routine"
551,"85","20160321","routine"
551,"81","20161107","routine"
551,"76","20170621","routine"
551,"90","20180612","routine"
552,"89","20170110","routine"
552,"87","20160516","routine"
552,"84","20180503","routine"
552,"81","20170815","routine"
557,"85","20160629","routine"
557,"76","20171018","routine"
562,"98","20160810","routine"
573,"100","20170927","routine"
573,"86","20171222","routine"
573,"100","20180216","routine"
573,"100","20170906","routine"
573,"86","20170127","routine"
573,"86","20170119","routine"
580,"91","20160311","routine"
580,"94","20180313","routine"
580,"91","20170829","routine"
580,"96","20170307","routine"
580,"92","20160829","routine"
580,"93","20150820","routine"
587,"96","20160608","routine"
587,"88","20180131","routine"
588,"88","20171121","routine"
588,"78","20151117","routine"
588,"91","20170103","routine"
588,"83","20160615","routine"
589,"80","20160503","routine"
589,"85","20161128","routine"
589,"82","20180611","routine"
591,"89","20180206","routine"
591,"83","20160615","routine"
606,"78","20170720","routine"
606,"81","20180724","routine"
606,"86","20160518","routine"
610,"94","20160819","routine"
610,"92","20180206","routine"
615,"100","20150914","routine"
615,"92","20160718","routine"
615,"86","20170608","routine"
619,"90","20170929","routine"
619,"86","20170118","routine"
619,"88","20160525","routine"
625,"88","20180316","routine"
625,"90","20160921","routine"
627,"93","20150819","routine"
627,"87","20180403","routine"
628,"90","20161130","routine"
628,"82","20160418","routine"
628,"74","20180504","routine"
631,"98","20160930","routine"
631,"87","20180314","routine"
631,"87","20180709","routine"
639,"92","20150806","routine"
639,"92","20160303","routine"
639,"94","20171023","routine"
639,"92","20180620","routine"
639,"94","20160913","routine"
642,"94","20160617","routine"
642,"96","20180426","routine"
645,"93","20170405","routine"
665,"87","20180529","routine"
665,"83","20161005","routine"
665,"89","20171127","routine"
670,"85","20180413","routine"
670,"86","20160914","routine"
670,"86","20171023","routine"
691,"90","20160919","routine"
691,"80","20170925","routine"
691,"92","20180307","routine"
695,"94","20160930","routine"
695,"92","20170713","routine"
695,"96","20180112","routine"
695,"94","20160404","routine"
703,"66","20160617","routine"
703,"73","20180417","routine"
709,"83","20170112","routine"
709,"82","20151110","routine"
709,"87","20170927","routine"
726,"75","20160217","routine"
726,"72","20161109","routine"
726,"74","20180522","routine"
741,"94","20180222","routine"
741,"83","20160610","routine"
744,"98","20180116","routine"
744,"90","20160624","routine"
744,"96","20170201","routine"
754,"98","20171005","routine"
758,"94","20171212","routine"
758,"94","20160809","routine"
768,"92","20170124","routine"
773,"96","20161205","routine"
774,"90","20161205","routine"
782,"96","20151030","routine"
782,"96","20170131","routine"
782,"92","20180413","routine"
786,"86","20180206","routine"
786,"94","20150803","routine"
786,"80","20160822","routine"
